steps,time,reward,delta,converged
1,0.06467466542952138,-143.82199130911738,5.990935171247409,False
2,0.1125875981723965,373.003366939854,2.03824603038898,False
3,0.11209351845346305,393.7756163457809,1.8344899822629024,False
4,0.11191261188972135,397.2850930265556,0.8773691701936807,False
5,0.11131698556189917,399.653950707099,0.7896192268477968,False
6,0.10615858849644155,401.0752363680328,0.7106428304668884,False
7,0.10531236675562639,401.71480729771815,0.6395624655356121,False
8,0.03729064545242977,401.71480729771815,0,True
