steps,time,reward,delta,converged
1,0.07018099999999095,-4198.684773180406,201.83052458312196,False
2,0.12357499999998822,13364.370811953537,483.0797957729446,False
3,0.15690799999998717,14546.042512257365,536.755328636605,False
4,0.14892299999999636,15512.202088128379,483.07978757767785,False
5,0.11102299999998877,19719.923597717596,434.77180061220304,False
6,0.10105000000001496,21033.890892700543,391.29461232945334,False
7,0.08483400000000074,22216.461429189974,352.1651428596203,False
8,0.10269099999999298,23683.51928071082,316.9486203197058,False
9,0.10224999999999795,23683.51928071082,8.98145009387008e-06,True
