params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",4.335583,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",4.387761,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",4.713016999999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",2.832177999999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",2.8613740000000014,100,7.462686567164179e-05,0.0,0.0,0.007462686567164179,0.0007425279381392686
"{""discount_factor"": 0.5}",2.739487999999998,100,0.00205389007619387,0.0,0.0,0.027777777777777776,0.005539203832255966
"{""discount_factor"": 0.6}",2.9507650000000005,100,0.010327030021394875,0.010165118679050567,0.0,0.05263157894736842,0.009802808250469638
"{""discount_factor"": 0.7}",2.9940700000000007,100,0.011699442229535627,0.012121657361151925,0.0,0.03333333333333333,0.010019997452384287
"{""discount_factor"": 0.8}",3.2285579999999996,100,0.011343231955192925,0.010994321614111393,0.0,0.038461538461538464,0.011078521813184541
"{""discount_factor"": 0.9}",2.979497000000002,100,0.013094879525662588,0.013606071825249907,0.0,0.041666666666666664,0.00968271489698813
