episode,length,time,reward,delta
0,500.0,0.05104200000005221,-2679.0,-0.10130566871915958
1,332.0,0.03360400000019581,-1717.0,100.00018370257281
2,86.0,0.008659999999508727,-283.0,10.00001837025728
3,267.0,0.02653299999929004,-1454.0,1.0000018370257209
4,61.0,0.006158000000141328,-159.0,0.10000018370257635
5,43.0,0.004421999999976833,57.0,0.01000001837026332
6,22.0,0.002312999999958265,78.0,0.001000001837027753
7,24.0,0.002502999999705935,76.0,0.00010000018370703856
8,91.0,0.009127999999691383,-189.0,1.0000018377809283e-05
9,18.0,0.0019170000005033216,82.0,1.000001830675501e-06
10,48.0,0.004861000000346394,-344.0,1.0000017880429368e-07
11,24.0,0.0024979999998322455,76.0,1.0000022143685783e-08
12,27.0,0.0028139999994891696,73.0,1.0000036354540498e-09
13,30.0,0.0030829999996058177,70.0,1.000017846308765e-10
14,27.0,0.002795999999761989,73.0,1.000444171950221e-11
15,23.0,0.002411999999822001,77.0,9.947598300641403e-13
16,36.0,0.003679000000374799,-35.0,9.947598300641403e-14
17,21.0,0.0022209999997357954,79.0,1.4210854715202004e-14
18,16.0,0.0017299999999522697,84.0,0.0
19,21.0,0.002209999999649881,-20.0,0.0
20,50.0,0.005071999999927357,-148.0,0.0
21,18.0,0.0019160000001647859,82.0,0.0
22,36.0,0.003681999999571417,-35.0,0.0
23,42.0,0.004297999999835156,-41.0,0.0
24,45.0,0.004546999999547552,-44.0,0.0
25,39.0,0.003973999999288935,61.0,0.0
26,20.0,0.0021059999999124557,80.0,0.0
27,37.0,0.003780000000006112,63.0,0.0
28,20.0,0.0020979999999326537,80.0,0.0
29,15.0,0.001607000000149128,85.0,0.0
30,66.0,0.006660000000010768,-263.0,0.0
31,16.0,0.0017269999998461572,84.0,0.0
32,58.0,0.005850999999893247,-156.0,0.0
33,31.0,0.003206999999747495,-30.0,0.0
34,74.0,0.007450000000062573,-370.0,0.0
35,14.0,0.0015229999999064603,86.0,0.0
36,44.0,0.004482999999709136,-142.0,0.0
37,19.0,0.0020089999998162966,81.0,0.0
38,16.0,0.001720000000204891,84.0,0.0
39,16.0,0.0017130000005636248,84.0,0.0
40,14.0,0.001502000000073167,86.0,0.0
41,17.0,0.0018070000005536713,83.0,0.0
42,14.0,0.0015149999999266583,86.0,0.0
43,103.0,0.010338000000047032,-399.0,0.0
44,17.0,0.0018219999992652447,83.0,0.0
45,20.0,0.0021150000002307934,80.0,0.0
46,21.0,0.002207999999882304,-20.0,0.0
47,24.0,0.002517999999327003,76.0,0.0
48,61.0,0.006174000000100932,-159.0,0.0
49,25.0,0.002614999999423162,75.0,0.0
50,19.0,0.0020089999998162966,81.0,0.0
51,17.0,0.0018040000004475587,83.0,0.0
52,27.0,0.002795000000332948,-26.0,0.0
53,17.0,0.0018059999993056408,83.0,0.0
54,33.0,0.0033750000002328306,-32.0,0.0
55,16.0,0.0017070000003513996,84.0,0.0
56,16.0,0.00171299999965413,84.0,0.0
57,19.0,0.0020080000003872556,81.0,0.0
58,17.0,0.001809000000321248,83.0,0.0
59,15.0,0.001599000000169326,85.0,0.0
60,41.0,0.004186000000117929,-139.0,0.0
61,49.0,0.004968000000189932,-147.0,0.0
62,21.0,0.0021970000007058843,79.0,0.0
63,17.0,0.001795000000129221,83.0,0.0
64,18.0,0.0018950000003314926,82.0,0.0
65,21.0,0.002187000000049011,79.0,0.0
66,16.0,0.0017159999997602426,84.0,0.0
67,22.0,0.0023099999998521525,78.0,0.0
68,23.0,0.002405000000180735,77.0,0.0
69,53.0,0.0056539999995948165,-151.0,0.0
70,18.0,0.0018520000003263704,82.0,0.0
71,22.0,0.00220900000022084,78.0,0.0
72,30.0,0.0029800000002069282,-29.0,0.0
73,34.0,0.003356000000167114,-33.0,0.0
74,60.0,0.005814999999529391,-158.0,0.0
75,18.0,0.001959000000169908,82.0,0.0
76,59.0,0.005767999999989115,-256.0,0.0
77,19.0,0.0019339999998919666,81.0,0.0
78,78.0,0.0075679999999920256,-275.0,0.0
79,16.0,0.0016580000001340522,84.0,0.0
80,23.0,0.002318000000741449,77.0,0.0
81,19.0,0.001944999999977881,81.0,0.0
82,36.0,0.003552000000127009,-35.0,0.0
83,37.0,0.0036339999996926053,-135.0,0.0
84,15.0,0.0015469999998458661,85.0,0.0
85,59.0,0.005732999999963795,-157.0,0.0
86,31.0,0.003058000000237371,-30.0,0.0
87,16.0,0.0016480000003866735,84.0,0.0
88,15.0,0.0015370000000984874,85.0,0.0
89,16.0,0.001645000000280561,84.0,0.0
90,47.0,0.0045860000000175205,-145.0,0.0
91,15.0,0.0015410000005431357,85.0,0.0
92,20.0,0.002015999999457563,80.0,0.0
93,18.0,0.0018229999996037805,82.0,0.0
94,26.0,0.002612000000226544,-25.0,0.0
95,21.0,0.002112999999553722,79.0,0.0
96,14.0,0.0014449999998760177,86.0,0.0
97,14.0,0.0014460000002145534,86.0,0.0
98,14.0,0.0014460000002145534,86.0,0.0
99,34.0,0.003351999999722466,-33.0,0.0
100,46.0,0.0044589999997697305,-243.0,0.0
101,29.0,0.0028749999992214725,-28.0,0.0
102,14.0,0.0014440000004469766,86.0,0.0
103,56.0,0.005403000000114844,-154.0,0.0
104,20.0,0.002034000000094238,-19.0,0.0
105,14.0,0.001449999999749707,86.0,0.0
106,35.0,0.0034820000000763685,-133.0,0.0
107,32.0,0.0031570000001011067,-31.0,0.0
108,16.0,0.0016429999996034894,84.0,0.0
109,14.0,0.0014449999998760177,86.0,0.0
110,19.0,0.0019110000002910965,81.0,0.0
111,35.0,0.0034439999999449356,-34.0,0.0
112,35.0,0.003434999999626598,-34.0,0.0
113,41.0,0.003985000000284344,-40.0,0.0
114,15.0,0.0015520000006290502,85.0,0.0
115,16.0,0.0016420000001744484,84.0,0.0
116,36.0,0.0035410000000410946,-35.0,0.0
117,18.0,0.001825999999709893,82.0,0.0
118,25.0,0.002493999999387597,-24.0,0.0
119,14.0,0.0014449999998760177,86.0,0.0
120,21.0,0.002112000000124681,79.0,0.0
121,28.0,0.0027810000001409207,-27.0,0.0
122,44.0,0.004310000000259606,-43.0,0.0
123,34.0,0.003335999999762862,-33.0,0.0
124,20.0,0.002013000000260945,80.0,0.0
125,16.0,0.0016329999998561107,-114.0,0.0
126,16.0,0.0016359999999622232,84.0,0.0
127,48.0,0.004680999999436608,-47.0,0.0
128,29.0,0.002876000000469503,-28.0,0.0
129,40.0,0.003931000000193308,-39.0,0.0
130,73.0,0.00706499999978405,-270.0,0.0
131,30.0,0.0029729999996561673,-29.0,0.0
132,14.0,0.0014500000006592018,86.0,0.0
133,34.0,0.003337999999530439,-33.0,0.0
134,16.0,0.0016310000000885339,84.0,0.0
135,15.0,0.0015389999998660642,85.0,0.0
136,17.0,0.0017290000005232287,83.0,0.0
137,18.0,0.001831000000493077,82.0,0.0
138,18.0,0.0018239999999423162,82.0,0.0
139,15.0,0.0015419999999721767,85.0,0.0
140,27.0,0.002688999999918451,-26.0,0.0
141,24.0,0.0023980000005394686,76.0,0.0
142,31.0,0.003080999999838241,-30.0,0.0
143,35.0,0.0034679999998843414,-34.0,0.0
144,16.0,0.001637000000300759,84.0,0.0
145,14.0,0.0014479999999821302,86.0,0.0
146,89.0,0.008546000000023923,-286.0,0.0
147,17.0,0.0017450000004828325,83.0,0.0
148,18.0,0.0018410000002404558,82.0,0.0
149,30.0,0.0029869999998481944,-29.0,0.0
150,120.0,0.011555000000043947,-317.0,0.0
151,20.0,0.0020260000001144363,80.0,0.0
152,16.0,0.0016470000000481377,84.0,0.0
153,33.0,0.003246999999646505,-32.0,0.0
154,14.0,0.0014449999998760177,86.0,0.0
155,18.0,0.0018270000000484288,82.0,0.0
156,14.0,0.0014939999991838704,86.0,0.0
157,15.0,0.0015510000002905144,85.0,0.0
158,20.0,0.002013999999689986,80.0,0.0
159,17.0,0.0017700000007607741,83.0,0.0
160,25.0,0.0024910000001909793,-24.0,0.0
161,16.0,0.0016270000005533802,84.0,0.0
162,18.0,0.0018219999992652447,82.0,0.0
163,14.0,0.0014339999997901032,86.0,0.0
164,15.0,0.0015339999999923748,85.0,0.0
165,16.0,0.0016400000004068715,84.0,0.0
166,17.0,0.001728999999613734,83.0,0.0
167,18.0,0.0018239999999423162,82.0,0.0
168,20.0,0.0020129999993514502,80.0,0.0
169,14.0,0.0014389999996637926,86.0,0.0
170,18.0,0.0018430000000080327,82.0,0.0
171,16.0,0.0016380000006392947,84.0,0.0
172,19.0,0.0019139999994877144,81.0,0.0
173,86.0,0.0082830000001195,-283.0,0.0
174,18.0,0.001833000000260654,82.0,0.0
175,15.0,0.0015359999997599516,85.0,0.0
176,16.0,0.0016480000003866735,84.0,0.0
177,17.0,0.001728999999613734,83.0,0.0
178,14.0,0.0014449999998760177,86.0,0.0
179,20.0,0.0020180000001346343,80.0,0.0
180,57.0,0.005520000000615255,-155.0,0.0
181,28.0,0.0027589999999690917,-27.0,0.0
182,14.0,0.0014460000002145534,86.0,0.0
183,18.0,0.0018209999998362036,82.0,0.0
184,15.0,0.0015370000000984874,-14.0,0.0
185,20.0,0.002005000000281143,80.0,0.0
186,14.0,0.0014449999998760177,86.0,0.0
187,16.0,0.0016359999999622232,84.0,0.0
188,15.0,0.0015360000006694463,85.0,0.0
189,15.0,0.0015499999999519787,85.0,0.0
190,66.0,0.006370000000060827,-263.0,0.0
191,14.0,0.0014460000002145534,86.0,0.0
192,21.0,0.002103000000715838,79.0,0.0
193,17.0,0.0017139999999926658,83.0,0.0
194,14.0,0.0014430000001084409,86.0,0.0
195,14.0,0.0014469999996435945,86.0,0.0
196,15.0,0.0015370000000984874,85.0,0.0
197,14.0,0.0014449999998760177,86.0,0.0
198,14.0,0.0015690000000176951,86.0,0.0
199,14.0,0.0014550000005328911,86.0,0.0
200,16.0,0.001645000000280561,84.0,0.0
201,16.0,0.0016269999996438855,84.0,0.0
202,19.0,0.001936000000569038,81.0,0.0
203,16.0,0.0016409999998359126,84.0,0.0
204,18.0,0.0018210000007456983,82.0,0.0
205,15.0,0.0015360000006694463,85.0,0.0
206,16.0,0.0016330000007656054,84.0,0.0
207,35.0,0.003456999999798427,-34.0,0.0
208,26.0,0.002577999999630265,-25.0,0.0
209,16.0,0.0016519999999218271,84.0,0.0
210,64.0,0.006182000000080734,-261.0,0.0
211,14.0,0.0014419999997699051,86.0,0.0
212,18.0,0.0018460000001141452,82.0,0.0
213,31.0,0.0030630000001110602,-228.0,0.0
214,16.0,0.0016530000002603629,84.0,0.0
