episode,length,time,reward,delta
0,20.0,0.002167000000099506,0.0,-6.164620399581704e-05
1,56.0,0.0053699999998571,0.0,-5.5481583596235376e-05
2,53.0,0.004724000000123851,0.0,0.0004582441502883575
3,6.0,0.0006370000000970322,0.0,-4.993342523661182e-05
4,70.0,0.006177999999863459,0.0,-0.00041125698962574716
5,10.0,0.0009769999999207357,0.0,-6.963155530894912e-05
6,39.0,0.0035020000000258733,0.0,-0.00011734281757740258
7,17.0,0.0016239999999925203,0.0,-0.00014829198013861593
8,73.0,0.006577999999990425,0.0,0.00021286589838097607
9,28.0,0.002554999999802021,0.0,-0.00037551800975357797
10,44.0,0.003975000000082218,0.0,-0.00013346278212475438
11,93.0,0.008192000000008193,0.0,-0.0002345669168345489
12,43.0,0.00387300000011237,0.0,-0.00010560853581966228
13,53.0,0.004832000000078551,0.0,0.00028010350448832045
14,10.0,0.00105400000006739,0.0,0.0005484938779271402
15,35.0,0.0031600000002072193,0.0,3.4451465967554485e-05
16,40.0,0.0035649999999805004,0.0,0.0005686835664893198
17,36.0,0.0032570000000760047,0.0,-0.00012011650391227896
18,33.0,0.002961000000141212,0.0,0.00022000855817764478
19,42.0,0.00374599999986458,0.0,-4.4166764950014895e-05
20,32.0,0.0028800000000046566,0.0,8.694495983782753e-06
21,12.0,0.0011520000000473374,0.0,0.0004936444901344262
22,44.0,0.003916000000117492,0.0,2.499933145123153e-05
23,49.0,0.004329999999981737,0.0,0.0002053937050351366
24,35.0,0.0032190000001719454,0.0,4.602558892810495e-05
25,84.0,0.007372000000032131,0.0,-0.00010048264135557926
26,54.0,0.004789000000073429,0.0,0.00019558526659417378
27,6.0,0.0006520000001728476,0.0,4.1423030035294415e-05
28,8.0,0.0007989999999153952,0.0,3.728072703176497e-05
29,10.0,0.0009709999999358843,0.0,0.0001760267399347564
30,50.0,0.004394999999931315,0.0,-0.00010810485352105107
31,46.0,0.004069999999956053,0.0,0.0003745979329532
32,82.0,0.007280000000037035,0.0,-9.04343772200213e-05
33,5.0,0.0005439999999907741,0.0,0.00032024312673039327
34,40.0,0.003535000000056243,0.0,-3.975008845501335e-05
35,25.0,0.0023109999999633146,0.0,0.0002338975295947093
36,41.0,0.0036710000001676235,0.0,-0.0003536360129161549
37,31.0,0.0027669999999488937,0.0,-3.577507960951206e-05
38,15.0,0.0014149999999517604,0.0,0.0001062046688810567
39,47.0,0.004169999999930951,0.0,0.0002239067236047208
40,15.0,0.001494000000093365,0.0,0.00020151605124424875
41,66.0,0.005846999999903346,0.0,3.821715686353714e-05
42,13.0,0.0012460000000373839,0.0,0.0006473715803381403
43,44.0,0.003995000000031723,0.0,-3.432709904446058e-05
44,74.0,0.006524000000126762,0.0,3.4395441177183434e-05
45,21.0,0.0019350000000031287,0.0,0.00030336070953314363
46,47.0,0.004173000000037064,0.0,-0.0002864655816077771
47,42.0,0.003735000000006039,0.0,3.095589705946506e-05
48,15.0,0.0014380000000073778,0.0,0.0005123921158164755
49,29.0,0.0026050000001305307,0.0,-1.053563326812722e-05
50,26.0,0.002351000000089698,0.0,0.00028583445494221075
51,20.0,0.0018260000001646404,0.0,-2.8626899863392697e-05
52,10.0,0.0009820000000217988,0.0,0.0001730772984297256
53,8.0,0.0009849999999005377,0.0,0.0002804159753077933
54,19.0,0.001778000000058455,0.0,0.00025237437777701397
55,27.0,0.0024410000000898435,0.0,-2.5764209877053405e-05
56,16.0,0.0015089999999418069,0.0,2.7860307353518498e-05
57,21.0,0.0019130000000586733,0.0,-2.3187788889348086e-05
58,36.0,0.003224000000045635,0.0,0.00018758843214305998
59,52.0,0.004598999999871012,0.0,-0.00012274265032320448
60,74.0,0.006527999999889289,0.0,-9.482069941314515e-06
61,28.0,0.0025149999999030115,0.0,0.00019445334349899447
62,39.0,0.003517999999985477,0.0,-2.8361860113520305e-06
63,6.0,0.0006290000001172302,0.0,0.0002643515739206016
64,12.0,0.0011389999999664724,0.0,0.00025790459674435585
65,6.0,0.0006240000000161672,0.0,5.1698280266180576e-05
66,27.0,0.0024319999999988795,0.0,-1.5927081994819353e-05
67,29.0,0.002602000000024418,0.0,1.0943276976705806e-05
68,27.0,0.0024319999999988795,0.0,2.9704372599109415e-05
69,50.0,0.004400999999916166,0.0,6.66953456121837e-06
70,36.0,0.0032340000000203872,0.0,0.0002655951162331614
71,18.0,0.0016570000000228902,0.0,0.0001155399979713502
72,23.0,0.002087000000074113,0.0,0.00022586899459146404
73,76.0,0.006595000000061191,0.0,-0.00016615970093068646
74,38.0,0.004145999999991545,0.0,0.00023390301438317796
75,53.0,0.005524000000150409,0.0,0.00024705380823275883
76,37.0,0.0033150000001569424,0.0,-0.0003182724116245394
77,6.0,0.0007089999999152496,0.0,0.00027961288414509225
78,45.0,0.00408900000002177,0.0,-1.7947695856561157e-05
79,92.0,0.0080569999997806,0.0,5.415222516579152e-05
80,71.0,0.006311999999979889,0.0,-0.00015891271168382167
