episode,length,time,reward,delta
0,7.0,0.000835999999935666,0.0,-0.00018574497076653893
1,62.0,0.0055770000000165965,0.0,-2.1506458440437434e-05
2,38.0,0.0036780000000362634,0.0,-0.00020656087747974593
3,28.0,0.0025739999999814245,0.0,0.00019902799837924945
4,20.0,0.001857000000086373,0.0,4.32828902326445e-05
5,36.0,0.0033899999999675856,0.0,7.821469692706538e-05
6,34.0,0.0031139999999822976,0.0,-1.0753229220218717e-05
7,23.0,0.0021220000000994332,0.0,4.1731664448675914e-05
8,23.0,0.002137000000061562,0.0,7.540756300145805e-05
9,40.0,0.0036360000000286163,0.0,-7.410759901872472e-05
10,72.0,0.00675499999999829,0.0,1.910125948462963e-05
11,102.0,0.009017999999969106,0.0,0.0003409487590120522
12,7.0,0.0007289999999784413,0.0,3.910734846353269e-05
13,45.0,0.004060999999978776,0.0,6.244198259268115e-05
14,6.0,0.0006369999999833453,0.0,-5.376614610109304e-06
15,47.0,0.004195999999978994,0.0,0.000219305879273597
16,9.0,0.0008970000000090295,0.0,8.85718809915363e-05
17,45.0,0.004013999999983753,0.0,4.4285940495768206e-05
18,28.0,0.002580999999963751,0.0,0.00024973142044097793
19,24.0,0.002270999999950618,0.0,0.00037892260030235455
20,57.0,0.005085000000008222,0.0,0.0007410120805659611
21,11.0,0.00107500000001437,0.0,0.0006621833689113783
22,22.0,0.0020269999999982247,0.0,6.585890237566965e-07
23,13.0,0.001242000000047483,0.0,0.0002258209991783959
24,14.0,0.001454999999964457,0.0,1.2481285556603162e-05
25,34.0,0.0032679999999345455,0.0,0.00013953154201215253
26,17.0,0.001606000000037966,0.0,0.00023890273727303747
27,17.0,0.0016170000000101936,0.0,0.00011291049958919795
28,14.0,0.0013269999999465654,0.0,0.00016759448306146298
29,4.0,0.000463999999965381,0.0,0.00018698799385544933
30,7.0,0.0007249999999885404,0.0,0.0001723684945500462
31,24.0,0.002195000000028813,0.0,8.618424727502316e-05
32,18.0,0.0016859999999496722,0.0,0.00022540623163415754
33,15.0,0.0014200000000528235,0.0,-9.157327402721461e-05
34,15.0,0.0014169999999467109,0.0,5.161683464374462e-05
35,26.0,0.0023810000000139553,0.0,0.00018624966508745937
36,20.0,0.0018970000000990694,0.0,8.379724153073154e-05
37,140.0,0.012300000000095679,0.0,3.525389338706914e-05
38,12.0,0.001170999999999367,0.0,0.00010547637793573714
39,10.0,0.0011109999999234788,0.0,0.0006605082487740452
40,21.0,0.0021940000000313375,0.0,6.504747503814526e-05
41,16.0,0.0016930000000456857,0.0,0.00013942595519229168
42,8.0,0.0008090000000038344,0.0,0.00011945136863651879
43,28.0,0.002537999999958629,0.0,5.972568431825934e-05
44,10.0,0.000979000000029373,0.0,0.0002579968233110613
45,10.0,0.0009770000000344226,0.0,0.0001289984116555306
46,4.0,0.0004890000000159489,0.0,0.0002846006538205298
47,9.0,0.0008970000000090295,0.0,0.00019198985226462828
48,19.0,0.0017699999999649663,0.0,6.44992058277653e-05
49,8.0,0.0008379999999306165,0.0,6.971297759614584e-05
50,23.0,0.002476000000001477,0.0,0.00010656501217231359
51,7.0,0.0007349999999632928,0.0,9.599492613231414e-05
52,31.0,0.002869000000032429,0.0,0.00014230032691026485
53,7.0,0.0007190000000036889,0.0,7.115016345513243e-05
54,15.0,0.0014650000000528962,0.0,6.013830496001693e-05
55,20.0,0.002232999999932872,0.0,0.00036822072603254566
56,9.0,0.0010220000000344953,0.0,3.22496029138827e-05
57,11.0,0.001113000000032116,0.0,9.671360575888729e-05
58,11.0,0.0010649999999259308,0.0,0.00039285369908991614
59,31.0,0.0027919999999994616,0.0,0.00010627674255618222
60,7.0,0.0007799999999633656,0.0,9.614717064868332e-06
61,18.0,0.0017030000000204382,0.0,2.564569868256268e-05
62,4.0,0.00045599999998557905,0.0,0.0001224925504950563
63,6.0,0.0006270000000085929,0.0,0.00019642684954495812
64,11.0,0.001057999999943604,0.0,4.807358532434112e-06
65,11.0,0.0010529999999562278,0.0,0.00011578371842628
66,23.0,0.002127999999970598,0.0,6.976577100607621e-05
67,12.0,0.00118299999996907,0.0,2.6151084762733806e-05
68,27.0,0.0024310000000014043,0.0,5.789185921314e-05
69,13.0,0.0012239999999792417,0.0,9.821342477247901e-05
70,42.0,0.0037899999999808642,0.0,3.488288550303816e-05
71,26.0,0.0023610000000644504,0.0,0.00015082310331678017
72,16.0,0.0014989999999670545,0.0,0.00013919962021571874
73,31.0,0.0028079999999590655,0.0,0.0005673198154281573
74,24.0,0.002191000000038912,0.0,1.3075542381366903e-05
75,44.0,0.00401600000009239,0.0,0.00024352387844242963
76,22.0,0.0020140000000310465,0.0,0.00018158661803091049
77,9.0,0.0008940000000166037,0.0,3.6321014484255775e-05
