step,reward,mean,median,std,max,min
0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
1,5.733333333333333,2.3666666666666667,2.3666666666666667,3.3666666666666667,5.733333333333333,-1.0
2,-1.0,1.2444444444444445,-1.0,3.17412377332628,5.733333333333333,-1.0
3,-1.0,0.6833333333333333,-1.0,2.91561885940761,5.733333333333333,-1.0
4,-1.0,0.3466666666666667,-1.0,2.6933333333333334,5.733333333333333,-1.0
5,-1.0,0.12222222222222223,-1.0,2.5093651747497634,5.733333333333333,-1.0
6,-1.0,-0.038095238095238085,-1.0,2.3561758478200097,5.733333333333333,-1.0
7,5.733333333333333,0.6833333333333333,-1.0,2.91561885940761,5.733333333333333,-1.0
8,-1.0,0.4962962962962963,-1.0,2.7993140449197638,5.733333333333333,-1.0
9,5.733333333333333,1.02,-1.0,3.0856009679369323,5.733333333333333,-1.0
10,-1.0,0.8363636363636363,-1.0,2.9987692608618306,5.733333333333333,-1.0
11,-1.0,0.6833333333333332,-1.0,2.91561885940761,5.733333333333333,-1.0
12,5.733333333333333,1.0717948717948718,-1.0,3.1076923076923078,5.733333333333333,-1.0
13,-1.0,0.9238095238095239,-1.0,3.0418099397810123,5.733333333333333,-1.0
14,5.733333333333333,1.2444444444444445,-1.0,3.17412377332628,5.733333333333333,-1.0
15,-1.0,1.1041666666666665,-1.0,3.1209835299860913,5.733333333333333,-1.0
16,5.733333333333333,1.3764705882352941,-1.0,3.2177563877185573,5.733333333333333,-1.0
17,-1.0,1.2444444444444445,-1.0,3.17412377332628,5.733333333333333,-1.0
18,-1.0,1.1263157894736842,-1.0,3.129852096488114,5.733333333333333,-1.0
19,-1.0,1.02,-1.0,3.0856009679369323,5.733333333333333,-1.0
20,5.733333333333333,1.2444444444444445,-1.0,3.1741237733262797,5.733333333333333,-1.0
21,-1.0,1.1424242424242423,-1.0,3.1361879617027864,5.733333333333333,-1.0
22,-1.0,1.0492753623188407,-1.0,3.0982131294785353,5.733333333333333,-1.0
23,-1.0,0.9638888888888889,-1.0,3.060499787717242,5.733333333333333,-1.0
24,-1.0,0.8853333333333333,-1.0,3.0232591685133445,5.733333333333333,-1.0
25,-1.0,0.8128205128205128,-1.0,2.9866380052865393,5.733333333333333,-1.0
26,-1.0,0.745679012345679,-1.0,2.9507360893484504,5.733333333333333,-1.0
27,-1.0,0.6833333333333333,-1.0,2.91561885940761,5.733333333333333,-1.0
28,5.733333333333333,0.8574712643678161,-1.0,3.009447404777903,5.733333333333333,-1.0
29,-1.0,0.7955555555555556,-1.0,2.9775920340079587,5.733333333333333,-1.0
30,-1.0,0.7376344086021506,-1.0,2.9463024872931274,5.733333333333333,-1.0
31,5.733333333333333,0.8937499999999999,-1.0,3.027368649091154,5.733333333333333,-1.0
32,-1.0,0.8363636363636363,-1.0,2.99876926086183,5.733333333333333,-1.0
33,5.733333333333333,0.980392156862745,-1.0,3.0680103369956795,5.733333333333333,-1.0
34,-1.0,0.9238095238095236,-1.0,3.0418099397810128,5.733333333333333,-1.0
35,-1.0,0.8703703703703702,-1.0,3.015881602141309,5.733333333333333,-1.0
36,-1.0,0.8198198198198197,-1.0,2.990269097730907,5.733333333333333,-1.0
37,5.733333333333333,0.9491228070175438,-1.0,3.0536885647386365,5.733333333333333,-1.0
