episode,length,time,reward,delta
0,500.0,0.05113199999959761,-2877.0,-1.8988818675902408e-05
1,500.0,0.05113900000014837,-2679.0,-6.132854557527878e-08
2,224.0,0.022868000000016764,-1312.0,99.9995710400302
3,226.0,0.022564999999303836,-819.0,9.999957104003016
4,24.0,0.0025139999997918494,76.0,0.9999957104002988
5,220.0,0.02208100000007107,-1902.0,0.09999957104002988
6,21.0,0.002222000000074331,79.0,0.009999957104000146
7,20.0,0.0021289999995133257,-19.0,0.0009999957104014356
8,71.0,0.0072079999999914435,-169.0,9.999957103445922e-05
9,88.0,0.008872999999766762,-582.0,9.999957100603751e-06
10,40.0,0.004117999999834865,-39.0,9.999957057971187e-07
11,31.0,0.003214000000298256,-30.0,9.999956773754093e-08
12,18.0,0.0019149999998262501,82.0,9.999951089412207e-09
13,35.0,0.0036230000005161855,-34.0,9.999894245993346e-10
14,16.0,0.0017179999995278195,84.0,1.000017846308765e-10
15,56.0,0.005735999999160413,-154.0,1.000444171950221e-11
16,17.0,0.0018300000001545413,83.0,9.947598300641403e-13
17,15.0,0.0016339999992851517,85.0,9.947598300641403e-14
18,48.0,0.004918000000543543,-245.0,1.4210854715202004e-14
19,49.0,0.005009000000427477,-48.0,0.0
20,37.0,0.0038270000004558824,-36.0,0.0
21,19.0,0.002021999999669788,81.0,0.0
22,14.0,0.001516000000265194,86.0,0.0
23,32.0,0.0032969999992928933,-130.0,0.0
24,16.0,0.0017320000006293412,84.0,0.0
25,23.0,0.0024290000001201406,77.0,0.0
26,151.0,0.015148999999837542,-546.0,0.0
27,16.0,0.0017299999999522697,84.0,0.0
28,16.0,0.0017109999998865533,-15.0,0.0
29,19.0,0.0020089999998162966,81.0,0.0
30,14.0,0.0015149999999266583,86.0,0.0
31,48.0,0.004885999999714841,-245.0,0.0
32,45.0,0.004579000000376254,-143.0,0.0
33,16.0,0.0017179999995278195,84.0,0.0
34,36.0,0.0036769999996977276,-134.0,0.0
35,16.0,0.0017150000003312016,84.0,0.0
36,46.0,0.004716000000371423,-45.0,0.0
37,21.0,0.002215999999862106,79.0,0.0
38,16.0,0.0017119999993155943,84.0,0.0
39,21.0,0.0022209999997357954,79.0,0.0
40,16.0,0.0017150000003312016,84.0,0.0
41,26.0,0.002705999999307096,-25.0,0.0
42,46.0,0.004707000000053085,-144.0,0.0
43,14.0,0.0015149999999266583,86.0,0.0
44,80.0,0.008093999999800872,-376.0,0.0
45,19.0,0.002013999999689986,81.0,0.0
46,19.0,0.0020170000007055933,-18.0,0.0
47,19.0,0.0020180000001346343,81.0,0.0
48,20.0,0.002118999999765947,80.0,0.0
49,38.0,0.003915000000233704,-37.0,0.0
50,37.0,0.0038199999999051215,-36.0,0.0
51,16.0,0.0017189999998663552,84.0,0.0
52,19.0,0.0020239999994373647,81.0,0.0
53,47.0,0.004802000000381668,-244.0,0.0
54,18.0,0.0019139999994877144,82.0,0.0
55,34.0,0.0035060000000157743,-33.0,0.0
56,31.0,0.0032299999993483652,-30.0,0.0
57,16.0,0.0017180000004373142,84.0,0.0
58,14.0,0.001518000000032771,86.0,0.0
59,20.0,0.00211699999999837,80.0,0.0
60,16.0,0.0017230000003110035,84.0,0.0
61,17.0,0.0018099999997502891,83.0,0.0
62,62.0,0.006288000000495231,-160.0,0.0
63,45.0,0.004576999999699183,-44.0,0.0
64,34.0,0.00350700000035431,-33.0,0.0
65,15.0,0.0016279999999824213,85.0,0.0
66,56.0,0.005713000000469037,-154.0,0.0
67,28.0,0.002915999999459018,-27.0,0.0
68,23.0,0.002405000000180735,77.0,0.0
69,14.0,0.0015119999998205458,86.0,0.0
70,16.0,0.0017090000001189765,84.0,0.0
71,14.0,0.001510000000052969,86.0,0.0
72,31.0,0.003230999999686901,-30.0,0.0
73,16.0,0.0017430000007152557,84.0,0.0
74,15.0,0.0016260000002148445,85.0,0.0
75,34.0,0.0035340000003998284,-33.0,0.0
76,35.0,0.003727999999682652,-133.0,0.0
77,14.0,0.0016329999998561107,86.0,0.0
78,36.0,0.003719000000273809,-134.0,0.0
79,37.0,0.0038219999996726983,-135.0,0.0
80,15.0,0.0016220000006796909,85.0,0.0
81,43.0,0.004402000000482076,-141.0,0.0
82,23.0,0.002547999999478634,-22.0,0.0
83,25.0,0.0026049999996757833,75.0,0.0
84,105.0,0.010463000000527245,-500.0,0.0
85,19.0,0.0020039999999426072,81.0,0.0
86,14.0,0.001510000000052969,86.0,0.0
87,30.0,0.0030919999999241554,-29.0,0.0
88,25.0,0.002577000000201224,75.0,0.0
89,29.0,0.0029939999994894606,71.0,0.0
90,42.0,0.004275999999663327,-41.0,0.0
91,20.0,0.0021059999999124557,-19.0,0.0
92,54.0,0.005484000000251399,-53.0,0.0
93,17.0,0.0018110000000888249,83.0,0.0
94,41.0,0.004182000000582775,-139.0,0.0
95,15.0,0.001607999999578169,85.0,0.0
96,76.0,0.007633000000168977,-174.0,0.0
97,15.0,0.0016100000002552406,-14.0,0.0
98,14.0,0.0015159999993556994,86.0,0.0
99,17.0,0.0018010000003414461,-16.0,0.0
100,55.0,0.005552999999963504,-54.0,0.0
101,19.0,0.001997000000301341,81.0,0.0
102,17.0,0.001795000000129221,83.0,0.0
103,29.0,0.002983999999742082,-28.0,0.0
104,29.0,0.002981999999974505,-28.0,0.0
105,19.0,0.0019969999993918464,81.0,0.0
106,33.0,0.003388000000086322,-32.0,0.0
107,36.0,0.0036769999996977276,-35.0,0.0
108,39.0,0.003960000000006403,-38.0,0.0
109,18.0,0.0018929999996544211,82.0,0.0
110,18.0,0.00189200000022538,82.0,0.0
111,36.0,0.0036549999995258986,-134.0,0.0
