step,reward,mean,median,std,max,min
0,5.733333333333333,5.733333333333333,5.733333333333333,0.0,5.733333333333333,5.733333333333333
1,-1.0,2.3666666666666667,2.3666666666666667,3.3666666666666667,5.733333333333333,-1.0
2,-1.0,1.2444444444444445,-1.0,3.17412377332628,5.733333333333333,-1.0
3,5.733333333333333,2.3666666666666667,2.3666666666666667,3.3666666666666667,5.733333333333333,-1.0
4,5.733333333333333,3.04,5.733333333333333,3.298646186948013,5.733333333333333,-1.0
5,-1.0,2.3666666666666667,2.3666666666666667,3.3666666666666667,5.733333333333333,-1.0
6,5.733333333333333,2.8476190476190477,5.733333333333333,3.3321358393229827,5.733333333333333,-1.0
7,-1.0,2.3666666666666667,2.3666666666666667,3.3666666666666667,5.733333333333333,-1.0
8,-1.0,1.9925925925925927,-1.0,3.345820232999685,5.733333333333333,-1.0
9,5.733333333333333,2.3666666666666667,2.3666666666666667,3.3666666666666667,5.733333333333333,-1.0
10,5.733333333333333,2.672727272727273,5.733333333333333,3.3527259580619257,5.733333333333333,-1.0
11,-1.0,2.3666666666666667,2.3666666666666667,3.3666666666666667,5.733333333333333,-1.0
12,5.733333333333333,2.6256410256410256,5.733333333333333,3.35669133609843,5.733333333333333,-1.0
13,5.733333333333333,2.8476190476190477,5.733333333333333,3.332135839322983,5.733333333333333,-1.0
14,5.733333333333333,3.04,5.733333333333333,3.2986461869480133,5.733333333333333,-1.0
15,5.733333333333333,3.208333333333333,5.733333333333333,3.2597609830579093,5.733333333333333,-1.0
16,5.733333333333333,3.356862745098039,5.733333333333333,3.217756387718557,5.733333333333333,-1.0
17,5.733333333333333,3.488888888888889,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
18,5.733333333333333,3.6070175438596492,5.733333333333333,3.129852096488114,5.733333333333333,-1.0
19,5.733333333333333,3.7133333333333334,5.733333333333333,3.085600967936932,5.733333333333333,-1.0
20,5.733333333333333,3.8095238095238093,5.733333333333333,3.0418099397810128,5.733333333333333,-1.0
21,5.733333333333333,3.896969696969697,5.733333333333333,2.9987692608618306,5.733333333333333,-1.0
22,5.733333333333333,3.9768115942028985,5.733333333333333,2.956666663114695,5.733333333333333,-1.0
23,5.733333333333333,4.05,5.733333333333333,2.91561885940761,5.733333333333333,-1.0
24,5.733333333333333,4.117333333333333,5.733333333333333,2.875693075880433,5.733333333333333,-1.0
25,5.733333333333333,4.179487179487179,5.733333333333333,2.836921964513937,5.733333333333333,-1.0
26,-1.0,3.987654320987654,5.733333333333333,2.9507360893484504,5.733333333333333,-1.0
27,5.733333333333333,4.05,5.733333333333333,2.91561885940761,5.733333333333333,-1.0
28,-1.0,3.875862068965517,5.733333333333333,3.009447404777903,5.733333333333333,-1.0
29,5.733333333333333,3.9377777777777774,5.733333333333333,2.9775920340079587,5.733333333333333,-1.0
30,-1.0,3.778494623655914,5.733333333333333,3.0563354305946224,5.733333333333333,-1.0
31,5.733333333333333,3.839583333333333,5.733333333333333,3.0273686490911547,5.733333333333333,-1.0
32,-1.0,3.6929292929292927,5.733333333333333,3.094425938784673,5.733333333333333,-1.0
33,-1.0,3.5549019607843135,5.733333333333333,3.1500065603515166,5.733333333333333,-1.0
34,-1.0,3.4247619047619047,5.733333333333333,3.1960724196370496,5.733333333333333,-1.0
35,5.733333333333333,3.488888888888889,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
36,5.733333333333333,3.549549549549549,5.733333333333333,3.152020388548768,5.733333333333333,-1.0
37,5.733333333333333,3.6070175438596483,5.733333333333333,3.129852096488114,5.733333333333333,-1.0
38,5.733333333333333,3.6615384615384605,5.733333333333333,3.1076923076923086,5.733333333333333,-1.0
39,5.733333333333333,3.7133333333333334,5.733333333333333,3.085600967936932,5.733333333333333,-1.0
40,-1.0,3.598373983739837,5.733333333333333,3.133263718475171,5.733333333333333,-1.0
41,-1.0,3.488888888888889,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
42,5.733333333333333,3.541085271317829,5.733333333333333,3.155183890915657,5.733333333333333,-1.0
43,5.733333333333333,3.5909090909090904,5.733333333333333,3.1361879617027855,5.733333333333333,-1.0
44,5.733333333333333,3.6385185185185174,5.733333333333333,3.117184195934764,5.733333333333333,-1.0
45,-1.0,3.537681159420289,5.733333333333333,3.1564488752719275,5.733333333333333,-1.0
46,5.733333333333333,3.584397163120566,5.733333333333333,3.1387221735047817,5.733333333333333,-1.0
47,-1.0,3.488888888888889,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
48,-1.0,3.397278911564626,5.733333333333333,3.20504022519388,5.733333333333333,-1.0
49,5.733333333333333,3.444,5.733333333333333,3.1896390600400752,5.733333333333333,-1.0
50,5.733333333333333,3.4888888888888885,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
51,5.733333333333333,3.5320512820512815,5.733333333333333,3.1585318017505055,5.733333333333333,-1.0
52,5.733333333333333,3.5735849056603763,5.733333333333333,3.142895608961386,5.733333333333333,-1.0
53,-1.0,3.488888888888888,5.733333333333333,3.1741237733262793,5.733333333333333,-1.0
54,-1.0,3.4072727272727263,5.733333333333333,3.201809405800786,5.733333333333333,-1.0
55,5.733333333333333,3.4488095238095235,5.733333333333333,3.1880105522377336,5.733333333333333,-1.0
56,-1.0,3.3707602339181286,5.733333333333333,3.2134468336427595,5.733333333333333,-1.0
57,-1.0,3.2954022988505747,5.733333333333333,3.2360306812446016,5.733333333333333,-1.0
58,5.733333333333333,3.3367231638418073,5.733333333333333,3.223885053275432,5.733333333333333,-1.0
59,5.733333333333333,3.376666666666666,5.733333333333333,3.211595311437051,5.733333333333333,-1.0
60,-1.0,3.3049180327868846,5.733333333333333,3.23328452481652,5.733333333333333,-1.0
61,5.733333333333333,3.3440860215053756,5.733333333333333,3.221660418050159,5.733333333333333,-1.0
62,-1.0,3.2751322751322745,5.733333333333333,3.2417795549172768,5.733333333333333,-1.0
63,5.733333333333333,3.3135416666666666,5.733333333333333,3.230769595439985,5.733333333333333,-1.0
64,5.733333333333333,3.3507692307692305,5.733333333333333,3.2196252247383086,5.733333333333333,-1.0
65,-1.0,3.2848484848484847,5.733333333333333,3.2390409990002866,5.733333333333333,-1.0
66,5.733333333333333,3.3213930348258702,5.733333333333333,3.2284581469156426,5.733333333333333,-1.0
67,5.733333333333333,3.3568627450980384,5.733333333333333,3.2177563877185573,5.733333333333333,-1.0
68,5.733333333333333,3.391304347826086,5.733333333333333,3.206955264233147,5.733333333333333,-1.0
69,-1.0,3.328571428571428,5.733333333333333,3.2263266532496964,5.733333333333333,-1.0
70,-1.0,3.267605633802816,5.733333333333333,3.243879378451069,5.733333333333333,-1.0
71,5.733333333333333,3.301851851851852,5.733333333333333,3.234172709342313,5.733333333333333,-1.0
72,-1.0,3.2429223744292237,5.733333333333333,3.2506338426617636,5.733333333333333,-1.0
73,5.733333333333333,3.276576576576576,5.733333333333333,3.2413744615968367,5.733333333333333,-1.0
74,5.733333333333333,3.309333333333333,5.733333333333333,3.232,5.733333333333333,-1.0
75,-1.0,3.252631578947368,5.733333333333333,3.2480010188809807,5.733333333333333,-1.0
76,5.733333333333333,3.2848484848484842,5.733333333333333,3.2390409990002866,5.733333333333333,-1.0
77,-1.0,3.229914529914529,5.733333333333333,3.2541124090975173,5.733333333333333,-1.0
78,5.733333333333333,3.2616033755274256,5.733333333333333,3.2455404375200625,5.733333333333333,-1.0
79,-1.0,3.208333333333333,5.733333333333333,3.259760983057909,5.733333333333333,-1.0
80,5.733333333333333,3.239506172839506,5.733333333333333,3.25155280457021,5.733333333333333,-1.0
81,-1.0,3.18780487804878,5.733333333333333,3.2649925700149187,5.733333333333333,-1.0
82,5.733333333333333,3.218473895582329,5.733333333333333,3.2571258632744704,5.733333333333333,-1.0
83,-1.0,3.168253968253968,5.733333333333333,3.2698474341134682,5.733333333333333,-1.0
84,-1.0,3.1192156862745097,5.733333333333333,3.281480522192951,5.733333333333333,-1.0
85,-1.0,3.071317829457364,5.733333333333333,3.292098294890686,5.733333333333333,-1.0
86,-1.0,3.0245210727969347,5.733333333333333,3.3017680149852193,5.733333333333333,-1.0
87,5.733333333333333,3.05530303030303,5.733333333333333,3.295485457883577,5.733333333333333,-1.0
88,-1.0,3.0097378277153557,5.733333333333333,3.3046790958082353,5.733333333333333,-1.0
89,-1.0,2.9651851851851854,5.733333333333333,3.3130378849984257,5.733333333333333,-1.0
90,5.733333333333333,2.995604395604396,5.733333333333333,3.307398037364583,5.733333333333333,-1.0
91,5.733333333333333,3.02536231884058,5.733333333333333,3.30160029110909,5.733333333333333,-1.0
92,-1.0,2.9820788530465956,5.733333333333333,3.3099414323065477,5.733333333333333,-1.0
93,-1.0,2.939716312056738,5.733333333333333,3.3175380251570226,5.733333333333333,-1.0
94,-1.0,2.8982456140350883,5.733333333333333,3.324435029769589,5.733333333333333,-1.0
95,-1.0,2.8576388888888893,5.733333333333333,3.3306742142471117,5.733333333333333,-1.0
96,-1.0,2.8178694158075603,5.733333333333333,3.3362944299944726,5.733333333333333,-1.0
97,5.733333333333333,2.847619047619048,5.733333333333333,3.3321358393229827,5.733333333333333,-1.0
98,-1.0,2.8087542087542094,5.733333333333333,3.337514501777549,5.733333333333333,-1.0
99,5.733333333333333,2.8380000000000005,5.733333333333333,3.3335100619817144,5.733333333333333,-1.0
