steps,time,reward,delta,converged
1,0.0018370000000231812,0.0,0,False
2,0.010361999999986438,0.0,0,False
3,0.0031360000000404398,0.0,0,False
4,0.0052010000000564105,0.0,0,False
5,0.019501999999988584,0.0,0,False
6,0.03459399999997004,0.0,0,False
7,0.014700999999945452,0.0,0,False
8,0.02618900000004487,0.0,0,False
9,0.028496000000018284,0.0,0,False
10,0.01030199999991055,0.0,0,False
11,0.04448100000001887,0.0,0,False
12,0.00488699999993969,0.0,0,False
13,0.012581999999952131,0.0,0,False
14,0.01073800000006031,0.0,0,False
15,0.00301600000000235,0.0,0,False
16,0.01719900000000507,0.0,0,False
17,0.004519999999956781,0.0,0,False
18,0.008008000000018,0.0,0,False
19,0.010679999999979373,0.0,0,False
20,0.02142700000001696,0.0,0,False
21,0.0016259999999874708,0.0,0,False
22,0.010850000000004911,0.0,0,False
23,0.0035440000000335203,0.0,0,False
24,0.007379000000014457,0.0,0,False
25,0.007961000000022977,0.0,0,False
26,0.004414999999994507,0.0,0,False
27,0.003099000000020169,0.0,0,False
28,0.013580000000047221,0.0,0,False
29,0.009695999999962623,0.0,0,False
30,0.018026999999960935,0.0,0,False
31,0.007402999999953863,0.0,0,False
32,0.0352500000000191,0.0,0,False
33,0.006168999999999869,0.0,0,False
34,0.0217609999999695,0.0,0,False
35,0.007019000000013875,0.0,0,False
36,0.022019000000000233,0.0,0,False
37,0.011905999999953565,0.0,0,False
38,0.03204500000003918,0.0,0,False
39,0.020842000000016014,0.0,0,False
40,0.00505600000008144,0.0,0,False
41,0.04323099999999158,0.0,0,False
42,0.01613699999995788,0.0,0,False
43,0.0037489999999706924,0.0,0,False
44,0.001890000000003056,0.0,0,False
45,0.04411300000003848,0.0,0,False
46,0.044367999999963104,0.0,0,False
47,0.014068000000065695,0.0,0,False
48,0.02170699999999215,0.0,0,False
49,0.015091000000097665,0.0,0,False
50,0.0028340000000071086,0.0,0,False
51,0.013529999999946085,0.0,0,False
52,0.014260000000035689,0.0,0,False
53,0.04361800000003768,0.0,0,False
54,0.03190000000006421,0.0,0,False
55,0.026578000000085922,0.0,0,False
56,0.020319999999969696,0.0,0,False
57,0.04317800000001171,0.0,0,False
58,0.023673000000030697,0.0,0,False
59,0.013523000000077445,0.0,0,False
60,0.019226000000003296,0.0,0,False
61,0.042734999999993306,0.0,0,False
62,0.04274299999997311,0.0,0,False
63,0.012437999999974636,0.0,0,False
64,0.0036029999999982465,0.0,0,False
65,0.017469000000005508,0.0,0,False
66,0.02741800000001149,0.0,0,False
67,0.0420969999998988,0.0,0,False
68,0.04397400000004836,0.0,0,False
69,0.016300999999998567,0.0,0,False
70,0.02310499999998683,0.0,0,False
71,0.0444039999999859,0.0,0,False
72,0.003447000000051048,0.0,0,False
73,0.0033649999999170177,0.0,0,False
74,0.043830999999954656,0.0,0,False
75,0.025815999999963424,0.0,0,False
76,0.04471200000000408,0.0,0,False
77,0.05083400000000893,0.0,0,False
78,0.025417000000061307,0.0,0,False
79,0.0445079999999507,0.0,0,False
80,0.04487000000005992,0.0,0,False
81,0.04381999999998243,0.0,0,False
82,0.03506100000004153,0.0,0,False
83,0.023639000000002852,0.0,0,False
84,0.025136000000088643,0.0,0,False
85,0.012722000000053413,0.0,0,False
86,0.043859999999995125,0.0,0,False
87,0.006128000000103384,0.0,0,False
88,0.04444899999998597,0.0,0,False
89,0.04437499999994543,0.0,0,False
90,0.044313999999985754,0.0,0,False
91,0.04496500000004744,0.0,0,False
92,0.047315000000025975,0.0,0,False
93,0.044119000000023334,0.0,0,False
94,0.04413399999998546,0.0,0,False
95,0.04471399999999903,0.0,0,False
96,0.03719699999999193,0.0,0,False
97,0.04443200000002889,0.0,0,False
98,0.04377599999997983,0.0,0,False
99,0.043713000000025204,0.0,0,False
100,0.037142000000017106,0.0,0,False
101,0.0030249999999796273,0.0,0,False
102,0.002119999999990796,0.0,0,False
103,0.0437370000000783,0.0,0,False
104,0.045094999999946594,0.0,0,False
105,0.04542100000003302,0.0,0,False
106,0.04531099999996968,0.0,0,False
107,0.04439700000000357,0.0,0,False
108,0.043607000000065455,0.0,0,False
109,0.045042999999964195,0.0,0,False
110,0.0442960000000312,0.0,0,False
111,0.04081199999995988,0.0,0,False
112,0.043567999999936546,0.0,0,False
113,0.04395399999998517,0.0,0,False
114,0.04387399999995978,0.0,0,False
115,0.043878999999947155,0.0,0,False
116,0.04358799999999974,0.0,0,False
117,0.032247000000097614,0.0,0,False
118,0.043982999999911954,0.0,0,False
119,0.04358399999989615,0.0,0,False
120,0.04397700000004079,0.0,0,False
121,0.04361200000005283,0.0,0,False
122,0.043800000000032924,0.0,0,False
123,0.043791999999939435,0.0,0,False
124,0.043743999999946936,0.0,0,False
125,0.04377199999998993,0.0,0,False
126,0.043843000000038046,0.0,0,False
127,0.04397100000005594,0.0,0,False
128,0.044549999999958345,0.0,0,False
129,0.047196999999982836,0.0,0,False
130,0.04354200000000219,0.0,0,False
131,0.04383399999994708,0.0,0,False
132,0.04476799999997638,0.0,0,False
133,0.04417000000000826,0.0,0,False
134,0.04383000000007087,0.0,0,False
135,0.04372699999998986,0.0,0,False
136,0.0446910000000571,0.0,0,False
137,0.04391499999996995,0.0,0,False
138,0.04392999999993208,0.0,0,False
139,0.04397500000004584,0.0,0,False
140,0.04628500000001168,0.0,0,False
141,0.04395599999998012,0.0,0,False
