steps,time,reward,delta,converged
1,0.05439899999964837,-7.125748502994012,0,False
2,0.050381000000015774,-7.323353293413174,0,False
3,0.04987600000004022,-7.718562874251497,0,False
4,0.011413000000175089,-4.426086956521739,100.00018260405727,False
5,0.04142199999932927,-5.484486873508353,100.00018260405727,False
6,0.004802999999810709,-0.9583333333333334,100.00018260405727,False
7,0.004302000000279804,-3.255813953488372,100.00018260405727,False
8,0.014486999999462569,-5.732876712328767,100.00018260405727,False
9,0.0056970000005094334,-4.43859649122807,100.00018260405727,False
10,0.008004000000255473,-4.6875,100.00018260405727,False
11,0.0018440000003465684,4.611111111111111,100.00018260405727,False
12,0.006509000000733067,-4.015384615384615,100.00018260405727,False
13,0.0033370000001013977,2.0606060606060606,100.00018260405727,False
14,0.005003000000215252,-4.92,100.00018260405727,False
15,0.016837000000123226,-5.674556213017752,100.00018260405727,False
16,0.0018299999992450466,4.611111111111111,100.00018260405727,False
17,0.009536000000480271,-9.977272727272727,100.00018260405727,False
18,0.006697999999232707,-5.46969696969697,100.00018260405727,False
19,0.0028449999999793363,2.607142857142857,100.00018260405727,False
20,0.005823999999847729,-2.6724137931034484,100.00018260405727,False
21,0.0022349999999278225,3.590909090909091,100.00018260405727,False
22,0.0024149999999281135,3.2083333333333335,100.00018260405727,False
23,0.016545000000405707,-6.323353293413174,100.00018260405727,False
24,0.013355000000046857,-5.385185185185185,100.00018260405727,False
25,0.0022149999995235703,-0.9090909090909091,100.00018260405727,False
26,0.0022120000003269524,3.590909090909091,100.00018260405727,False
27,0.0034970000006069313,-0.9428571428571428,100.00018260405727,False
28,0.004283000000214088,-0.9534883720930233,100.00018260405727,False
29,0.0032889999993130914,2.0606060606060606,100.00018260405727,False
30,0.002598000000034517,2.8846153846153846,100.00018260405727,False
31,0.002822000000378466,-0.9285714285714286,100.00018260405727,False
32,0.0038860000004206086,-0.9487179487179487,100.00018260405727,False
33,0.002923000000009779,2.4827586206896552,100.00018260405727,False
34,0.004176999999799591,-5.666666666666667,100.00018260405727,False
35,0.002021999999669788,-0.9,100.00018260405727,False
36,0.0061789999999746215,-4.161290322580645,100.00018260405727,False
37,0.0025130000003628084,3.04,100.00018260405727,False
38,0.0017239999997400446,-0.8823529411764706,100.00018260405727,False
39,0.0023039999996399274,3.391304347826087,100.00018260405727,False
40,0.0056450000001859735,-4.43859649122807,100.00018260405727,False
41,0.0020230000000083237,-0.9,100.00018260405727,False
42,0.007438999999976659,-3.6133333333333333,100.00018260405727,False
43,0.011072000000240223,-4.517857142857143,100.00018260405727,False
44,0.008117999999740277,-4.597560975609756,100.00018260405727,False
45,0.0020180000001346343,-0.9,100.00018260405727,False
46,0.004103999999642838,-0.9512195121951219,100.00018260405727,False
47,0.0028149999998277053,-0.9285714285714286,100.00018260405727,False
48,0.004560000000310538,-0.9565217391304348,100.00018260405727,False
49,0.0038709999998900457,-3.4871794871794872,100.00018260405727,False
50,0.001811999999517866,4.611111111111111,100.00018260405727,False
