steps,time,reward,delta,converged
1,0.012754999999742722,0.0,0,False
2,0.005723000000216416,0.0,0,False
3,0.005345999999917694,0.0,0,False
4,0.009690999999747874,0.0,0,False
5,0.008636000000024069,0.0,0,False
6,0.0021240000000943837,0.0,0,False
7,0.005707999999685853,0.0,0,False
8,0.01418599999988146,0.0,0,False
9,0.004338000000188913,0.0,0,False
10,0.016670999999860214,0.0,0,False
11,0.015302999999676103,0.0,0,False
12,0.005717000000004191,0.0,0,False
13,0.031199000000015076,0.0,0,False
14,0.026477999999769963,0.0,0,False
15,0.0071029999999154825,0.0,0,False
16,0.03444100000024264,0.0,0,False
17,0.013118000000304164,0.0,0,False
18,0.017929999999978463,0.0,0,False
19,0.005178000000341854,0.0,0,False
20,0.01758800000015981,0.0,0,False
21,0.00678299999981391,0.0,0,False
22,0.008368000000245956,0.0,0,False
23,0.008248999999977968,0.0,0,False
24,0.009426000000075874,0.0,0,False
25,0.020355000000108703,0.0,0,False
26,0.04423700000006647,0.0,0,False
27,0.004777000000103726,0.0,0,False
28,0.006630999999742926,0.0,0,False
29,0.012862000000041007,0.0,0,False
30,0.006034999999883439,0.0,0,False
31,0.001952999999957683,0.0,0,False
32,0.011252000000240514,0.0,0,False
33,0.01586600000018734,0.0,0,False
34,0.02084500000000844,0.0,0,False
35,0.004208999999718799,0.0,0,False
36,0.007603000000017346,0.0,0,False
37,0.004069999999956053,0.0,0,False
38,0.023153999999976804,0.0,0,False
39,0.008858000000145694,0.0,0,False
40,0.02575200000001132,0.0,0,False
41,0.003159000000323431,0.0,0,False
42,0.04081900000028327,0.0,0,False
43,0.0037590000001728185,0.0,0,False
44,0.03942899999992733,0.0,0,False
45,0.01593300000013187,0.0,0,False
46,0.006382999999914318,0.0,0,False
47,0.01269300000012663,0.0,0,False
48,0.007403999999951338,0.0,0,False
49,0.005365999999867199,0.0,0,False
50,0.019201999999950203,0.0,0,False
51,0.04457899999988513,0.0,0,False
52,0.04395699999986391,0.0,0,False
53,0.039667000000008557,0.0,0,False
54,0.004566000000068016,0.0,0,False
55,0.0010099999999511056,0.0,0,False
56,0.016180999999960477,0.0,0,False
57,0.02670399999988149,0.0,0,False
58,0.020458999999846128,0.0,0,False
59,0.027496000000155618,0.0,0,False
60,0.004707000000053085,0.0,0,False
61,0.012552000000141561,0.0,0,False
62,0.012990999999601627,0.0,0,False
63,0.020987999999761087,0.0,0,False
64,0.00765400000000227,0.0,0,False
65,0.016943000000082975,0.0,0,False
66,0.014192999999977474,0.0,0,False
67,0.021388999999999214,0.0,0,False
68,0.00618300000041927,0.0,0,False
69,0.02843699999993987,0.0,0,False
70,0.022872999999890453,0.0,0,False
71,0.014466999999967811,0.0,0,False
72,0.04515399999991132,0.0,0,False
73,0.0181550000002062,0.0,0,False
74,0.018289999999979045,0.0,0,False
75,0.006134999999630963,0.0,0,False
76,0.003264999999828433,0.0,0,False
77,0.006622999999763124,0.0,0,False
78,0.00955500000009124,0.0,0,False
79,0.011757000000216067,0.0,0,False
80,0.030291999999917607,0.0,0,False
81,0.026534999999967113,0.0,0,False
82,0.036427999999887106,0.0,0,False
