episode,length,time,reward,delta
0,75.0,0.006988999999975931,0.0,0.0002897956699778702
1,24.0,0.0024020000000746222,0.0,-0.00010259340686237831
2,77.0,0.006878000000142492,0.0,0.00022198725939171816
3,76.0,0.006819000000177766,0.0,-0.0005483205414250331
4,5.0,0.0005470000000968867,0.0,0.0001440726204509767
5,30.0,0.002720999999837659,0.0,-1.0329212121429798e-05
6,64.0,0.005748999999923399,0.0,0.0001565900427359817
7,29.0,0.0026270000003023597,0.0,7.989559662494885e-05
8,21.0,0.0019339999998919666,0.0,9.872792639561674e-05
9,13.0,0.0012670000000980508,0.0,7.063052253224612e-06
10,14.0,0.0013579999999819847,0.0,7.843431026621685e-05
11,54.0,0.004819999999654101,0.0,0.00015166580677904943
12,35.0,0.0031389999999191787,0.0,0.00028653542095176106
13,28.0,0.0025309999996352417,0.0,3.531526126612306e-06
14,4.0,0.00045700000009674113,0.0,0.00017489105629474116
15,19.0,0.0017800000000534055,0.0,1.989067621253188e-05
16,12.0,0.0011639999997896666,0.0,-5.129670343118921e-05
17,18.0,0.0016870000004018948,0.0,0.0003062733539258616
18,29.0,0.002633999999943626,0.0,0.0007250430360067273
19,37.0,0.004121999999824766,0.0,4.292919407610375e-05
20,22.0,0.0020759999997608247,0.0,0.00023496443623387752
21,10.0,0.00102100000003702,0.0,0.0001531366769629308
22,34.0,0.003913999999895168,0.0,0.0001174822181169387
23,13.0,0.0012939999996888218,0.0,7.656833848146535e-05
24,84.0,0.007595000000037544,0.0,5.874110905846935e-05
25,30.0,0.003092999999807944,0.0,0.0002903521260281644
26,9.0,0.000901999999769032,0.0,0.00014517606301408224
27,179.0,0.015472999999929016,0.0,-0.0002741602707125166
28,52.0,0.004610999999840715,0.0,-0.0002983450642065669
29,22.0,0.0019949999996242695,0.0,0.00013605695125926479
30,47.0,0.004144999999880383,0.0,0.00019900866266235227
31,8.0,0.0007999999997991836,0.0,0.00028037150247455823
32,51.0,0.004516999999850668,0.0,-0.00013490404925995704
33,43.0,0.00379800000018804,0.0,-0.00026004962496583553
34,11.0,0.0010769999998956337,0.0,0.0002624599268361453
35,7.0,0.0007270000000971777,0.0,0.00016933263837776212
36,14.0,0.0013289999997141422,0.0,0.0007931544116359624
37,60.0,0.005298999999922671,0.0,0.00023990101652825592
38,67.0,0.005914000000302622,0.0,-0.0002448502488090491
39,32.0,0.003669000000172673,0.0,-0.0001394598611418786
40,9.0,0.0009490000002188026,0.0,0.00022583321670687309
41,51.0,0.0045559999998658895,0.0,-6.70796921836812e-05
42,17.0,0.0016329999998561107,0.0,0.0002509081564561797
43,4.0,0.0004639999997380073,0.0,0.0001254540782280898
44,65.0,0.005916999999953987,0.0,0.00019144302050360968
45,19.0,0.0018110000000888249,0.0,-2.9591272963749296e-05
46,10.0,0.0009920000002239249,0.0,0.00024640598208457544
47,16.0,0.0015170000001489825,0.0,0.00024592195919955276
48,32.0,0.002904999999827851,0.0,5.6680968029069806e-05
49,16.0,0.0015069999999468564,0.0,0.0002141240236682232
50,22.0,0.0020300000001043372,0.0,0.0003333558625639874
51,9.0,0.0008920000000216532,0.0,0.00012296097959977638
52,15.0,0.0014200000000528235,0.0,0.00032041639864654114
53,31.0,0.0027930000001106237,0.0,-0.0002998213386153891
54,48.0,0.004280999999991764,0.0,0.0002922814838968047
55,14.0,0.0013250000001789886,0.0,0.00021505521983195117
56,9.0,0.0008950000001277658,0.0,0.00016667793128199374
57,64.0,0.005735000000186119,0.0,8.977811752187027e-05
58,10.0,0.0009839999997893756,0.0,0.0003333309107918889
59,8.0,0.0008200000002034358,0.0,0.00016666545539594446
60,4.0,0.00045799999998052954,0.0,8.333272769797228e-05
61,14.0,0.0013200000003052992,0.0,0.00028714941890109805
62,10.0,0.0009830000003603345,0.0,0.00016020819932327057
63,5.0,0.0005500000002029992,0.0,0.00014357470945054903
64,10.0,0.000984999999673164,0.0,0.00022742213544051538
65,28.0,0.0025480000003881287,0.0,2.8340484014534903e-05
66,9.0,0.0008950000001277658,0.0,0.00019504474639497665
67,62.0,0.005550000000312139,0.0,-0.00025962914904429236
68,78.0,0.006954999999834399,0.0,0.00036535697915671193
69,94.0,0.008330999999998312,0.0,1.4170242007267397e-05
70,8.0,0.0008060000000114087,0.0,0.00016742160158597305
71,31.0,0.0028029999998580024,0.0,0.0001278818174771791
72,45.0,0.004016999999748805,0.0,0.0003592915045935774
73,59.0,0.005259000000023661,0.0,7.085121003633644e-06
74,12.0,0.0011479999998300627,0.0,0.0002101514905133398
75,65.0,0.0057529999999133,0.0,-0.00013998331881704686
76,25.0,0.0025160000000141736,0.0,0.00017822047710094175
77,32.0,0.002985999999964406,0.0,0.0001158610517618179
78,26.0,0.002365000000281725,0.0,0.00041990227878774483
79,44.0,0.003915999999662745,0.0,0.000193085494492333
80,90.0,0.007959000000028027,0.0,0.00011645747141710537
81,41.0,0.003652999999758322,0.0,6.847423204892284e-05
82,22.0,0.00201599999991231,0.0,8.010409966163529e-05
83,16.0,0.001495999999860942,0.0,9.500488245049352e-05
84,17.0,0.0016460000001643493,0.0,0.0003784115428167805
85,20.0,0.0018469999999979336,0.0,0.00011943430698353394
86,54.0,0.0047880000001896406,0.0,0.000296608398502122
87,81.0,0.0071390000002793386,0.0,0.00015371288757623524
88,19.0,0.001746999999795662,0.0,0.00039886844984800583
89,25.0,0.002265999999963242,0.0,1.0225668536383578e-05
90,37.0,0.0033360000002176093,0.0,5.8228735708552685e-05
91,13.0,0.0012620000002243614,0.0,0.00027643181932885655
92,6.0,0.000630999999884807,0.0,0.00043998989650766444
93,12.0,0.0011490000001685985,0.0,0.0002995118006632031
94,15.0,0.0014139999998405983,0.0,5.971715349176697e-05
95,11.0,0.0010589999997137056,0.0,0.0003965772058179812
96,96.0,0.008460000000013679,0.0,-1.655214902374438e-05
97,63.0,0.005526999999801774,0.0,0.00045875208456164305
98,32.0,0.0033440000001974113,0.0,0.000287959518716587
