steps,time,reward,delta,converged
1,0.04633599999942817,-5.940119760479042,0,False
2,0.022740000000339933,-6.01953125,100.0,False
3,0.04440699999940989,-5.149700598802395,100.0,False
4,0.010016000000177883,-2.734513274336283,100.0,False
5,0.02172100000007049,-4.64344262295082,100.0,False
6,0.0023249999994732207,2.8846153846153846,100.0,False
7,0.002223999999841908,3.04,100.0,False
8,0.017095999999583,-5.558974358974359,100.0,False
9,0.0029199999999036663,-0.9393939393939394,100.0,False
10,0.007179999999607389,-5.864197530864198,100.0,False
11,0.002848000000085449,-0.9375,100.0,False
12,0.0017090000001189765,4.315789473684211,100.0,False
13,0.002488999999513908,2.607142857142857,100.0,False
14,0.00208199999997305,3.391304347826087,100.0,False
15,0.003373000000465254,-0.9459459459459459,100.0,False
16,0.0019840000004478497,3.590909090909091,100.0,False
17,0.0019019999999727588,3.8095238095238093,100.0,False
18,0.002515999999559426,-4.464285714285714,100.0,False
19,0.0013600000002043089,5.733333333333333,100.0,False
20,0.0018069999996441766,4.05,100.0,False
21,0.0035799999996015686,-3.425,100.0,False
22,0.0018099999997502891,4.05,100.0,False
23,0.002599000000373053,-0.9310344827586207,100.0,False
24,0.0026010000001406297,-0.9310344827586207,100.0,False
25,0.003186999999343243,1.8055555555555556,100.0,False
26,0.003553999999894586,-0.95,100.0,False
27,0.002058999999462685,-0.9130434782608695,100.0,False
28,0.0019620000002760207,-0.9090909090909091,100.0,False
29,0.002179000000069209,-0.9166666666666666,100.0,False
30,0.0027449999997770647,-0.9354838709677419,100.0,False
31,0.002484999999978754,-0.9285714285714286,100.0,False
32,0.001607000000149128,4.611111111111111,100.0,False
33,0.0025580000001355074,-0.9310344827586207,100.0,False
34,0.001786000000720378,4.05,100.0,False
35,0.002672999999958847,-0.9333333333333333,100.0,False
36,0.0033620000003793393,-0.9473684210526315,100.0,False
37,0.0018820000004780013,3.8095238095238093,100.0,False
38,0.003200000000106229,-0.9444444444444444,100.0,False
39,0.004233000000567699,-3.0208333333333335,100.0,False
40,0.0015350000003309106,4.9411764705882355,100.0,False
41,0.001787000000149419,-5.85,100.0,False
42,0.003980999999839696,-0.9555555555555556,100.0,False
43,0.003193999999894004,-0.9444444444444444,100.0,False
44,0.0017910000005940674,4.05,100.0,False
45,0.003687999999783642,-0.9523809523809523,100.0,False
46,0.0018760000002657762,3.8095238095238093,100.0,False
47,0.002997000000505068,-0.9411764705882353,100.0,False
48,0.0036329999993540696,-3.3658536585365852,100.0,False
49,0.0016120000000228174,4.611111111111111,100.0,False
50,0.004874000000199885,-2.7636363636363637,100.0,False
51,0.008573000000069442,-4.010204081632653,100.0,False
52,0.001524999999674037,4.9411764705882355,100.0,False
53,0.0013479999997798586,5.733333333333333,100.0,False
54,0.0014339999997901032,5.3125,100.0,False
55,0.001516000000265194,4.9411764705882355,100.0,False
56,0.0023099999998521525,2.8846153846153846,100.0,False
57,0.0016100000002552406,4.611111111111111,100.0,False
58,0.0015290000001186854,4.9411764705882355,100.0,False
59,0.0016430000005129841,4.611111111111111,100.0,False
60,0.002846000000317872,-0.9375,100.0,False
61,0.0017019999995682156,4.315789473684211,100.0,False
62,0.0040600000002086745,-3.108695652173913,100.0,False
63,0.0016919999998208368,4.315789473684211,100.0,False
64,0.0015260000000125729,4.9411764705882355,100.0,False
65,0.0016960000002654851,4.315789473684211,100.0,False
66,0.0023110000001906883,-0.9230769230769231,100.0,False
67,0.0017849999994723476,4.05,100.0,False
68,0.003551000000697968,-0.95,100.0,False
69,0.0013460000000122818,5.733333333333333,100.0,False
70,0.0018769999996948172,-0.9047619047619048,100.0,False
71,0.0015210000001388835,4.9411764705882355,100.0,False
72,0.00196700000014971,3.590909090909091,100.0,False
73,0.0028339999998934218,-4.03125,100.0,False
74,0.002148999999917578,3.2083333333333335,100.0,False
75,0.0015209999992293888,4.9411764705882355,100.0,False
76,0.0015279999997801497,4.9411764705882355,100.0,False
77,0.001607000000149128,4.611111111111111,100.0,False
78,0.0028360000005704933,-4.03125,100.0,False
79,0.0013690000005226466,5.733333333333333,100.0,False
80,0.0033789999997679843,-6.157894736842105,100.0,False
81,0.00805099999979575,-5.282608695652174,100.0,False
82,0.0016080000004876638,4.611111111111111,100.0,False
83,0.0015459999995073304,4.9411764705882355,100.0,False
