step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.029411764705882353,0.00267379679144385,0.0,0.008455287861412778,0.029411764705882353,0.0
11,0.013513513513513514,0.003577106518282989,0.0,0.008631911038294608,0.029411764705882353,0.0
12,0.0,0.0033019444784150665,0.0,0.008347869673861684,0.029411764705882353,0.0
13,0.0,0.003066091301385419,0.0,0.008089031941180162,0.029411764705882353,0.0
14,0.0,0.002861685214626391,0.0,0.007852083870242896,0.029411764705882353,0.0
15,0.0,0.0026828298887122417,0.0,0.007634239202459108,0.029411764705882353,0.0
16,0.0,0.0025250163658468157,0.0,0.007433152765429456,0.029411764705882353,0.0
17,0.0,0.0023847376788553257,0.0,0.007246843842701295,0.029411764705882353,0.0
18,0.0,0.0022592251694418877,0.0,0.00707363184329679,0.029411764705882353,0.0
19,0.0,0.0021462639109697933,0.0,0.0069120835320598956,0.029411764705882353,0.0
20,0.0,0.0020440608675902795,0.0,0.006760970165503535,0.029411764705882353,0.0
21,0.0,0.0019511490099725394,0.0,0.006619232777889571,0.029411764705882353,0.0
22,0.0,0.0018663164443215594,0.0,0.006485954047941373,0.029411764705882353,0.0
23,0.0,0.0017885532591414945,0.0,0.006360335435124613,0.029411764705882353,0.0
24,0.0,0.0017170111287758347,0.0,0.006241678524838002,0.029411764705882353,0.0
25,0.0,0.0016509722392075332,0.0,0.006129369737625862,0.029411764705882353,0.0
26,0.0,0.001589825119236884,0.0,0.006022867734051341,0.029411764705882353,0.0
27,0.0,0.0015330456506927096,0.0,0.005921692987636583,0.029411764705882353,0.0
28,0.0,0.0014801820075653748,0.0,0.00582541910910194,0.029411764705882353,0.0
29,0.0,0.0014308426073131955,0.0,0.005733665591885102,0.029411764705882353,0.0
30,0.0,0.0013846863941740601,0.0,0.005646091716707217,0.029411764705882353,0.0
31,0.0,0.0013414149443561208,0.0,0.0055623914059623365,0.029411764705882353,0.0
32,0.0,0.0013007660066483597,0.0,0.005482288860255762,0.029411764705882353,0.0
33,0.0,0.0012625081829234078,0.0,0.005405534842090498,0.029411764705882353,0.0
34,0.0,0.0012264365205541677,0.0,0.005331903497494743,0.029411764705882353,0.0
35,0.0,0.0011923688394276629,0.0,0.005261189626832216,0.029411764705882353,0.0
36,0.0,0.0011601426545782667,0.0,0.005193206332320891,0.029411764705882353,0.0
37,0.0,0.0011296125847209439,0.0,0.0051277829828114884,0.029411764705882353,0.0
38,0.0,0.001100648159471689,0.0,0.005064763446844287,0.029411764705882353,0.0
39,0.0,0.0010731319554848967,0.0,0.005004004553452129,0.029411764705882353,0.0
40,0.0,0.0010469580053511186,0.0,0.004945374747028361,0.029411764705882353,0.0
41,0.0,0.0010220304337951397,0.0,0.004888752908157451,0.029411764705882353,0.0
42,0.0,0.000998262284171997,0.0,0.004834027316868882,0.029411764705882353,0.0
43,0.0,0.0009755745049862697,0.0,0.004781094738522032,0.029411764705882353,0.0
44,0.0,0.0009538950715421304,0.0,0.004729859615619434,0.029411764705882353,0.0
45,0.0,0.0009331582221607797,0.0,0.004680233351403517,0.029411764705882353,0.0
46,0.0,0.0009133037919020397,0.0,0.0046321336732169675,0.029411764705882353,0.0
47,0.0,0.0008942766295707473,0.0,0.0045854840653792835,0.029411764705882353,0.0
48,0.0,0.0008760260861101197,0.0,0.0045402132628153445,0.029411764705882353,0.0
49,0.0,0.0008585055643879173,0.0,0.004496254797917591,0.029411764705882353,0.0
50,0.0,0.0008416721219489386,0.0,0.004453546594172924,0.029411764705882353,0.0
51,0.0,0.0008254861196037666,0.0,0.004412030600972793,0.029411764705882353,0.0
52,0.0,0.000809910909799922,0.0,0.004371652464777216,0.029411764705882353,0.0
53,0.0,0.000794912559618442,0.0,0.004332361232443285,0.029411764705882353,0.0
54,0.0,0.0007804596039890158,0.0,0.004294109083074521,0.029411764705882353,0.0
55,0.0,0.0007665228253463548,0.0,0.004256851085214175,0.029411764705882353,0.0
56,0.0,0.0007530750564806293,0.0,0.00422054497660599,0.029411764705882353,0.0
57,0.0,0.0007400910037826874,0.0,0.004185150964090195,0.029411764705882353,0.0
58,0.0,0.0007275470884643367,0.0,0.004150631541499328,0.029411764705882353,0.0
59,0.0,0.0007154213036565977,0.0,0.004116951323674993,0.029411764705882353,0.0
60,0.0,0.0007036930855638667,0.0,0.004084076894948946,0.029411764705882353,0.0
61,0.0,0.0006923431970870301,0.0,0.004051976670624798,0.029411764705882353,0.0
62,0.0,0.0006813536225300931,0.0,0.00402062077016465,0.029411764705882353,0.0
