episode,length,time,reward,delta
0,22.0,0.002369999999984884,0.0,0.00035567737045985603
1,9.0,0.0009059999999863066,0.0,-0.00026537108012555195
2,9.0,0.0009000000000014552,0.0,-0.0002829029899606539
3,15.0,0.001416000000006079,0.0,-0.000342677574667257
4,64.0,0.0059600000000159525,0.0,-0.00019136769131708855
5,12.0,0.001174999999989268,0.0,-0.00027045199394612045
6,18.0,0.0016889999999989413,0.0,-0.00022359725232649858
7,23.0,0.0024359999999887805,0.0,-0.0002833817272858224
8,6.0,0.0006480000000124164,0.0,-0.00022527707793140175
9,43.0,0.00392000000005055,0.0,-0.00018106486659077672
10,19.0,0.001772999999957392,0.0,-0.00016295837993169905
11,13.0,0.001251999999965392,0.0,-0.0003756051074789049
12,18.0,0.001706000000012864,0.0,-0.0002229892558925238
13,37.0,0.0033310000000028595,0.0,-0.00014666254193852914
14,10.0,0.0009879999999498068,0.0,-0.0001603439594704745
15,93.0,0.008395000000007258,0.0,-4.273997991038664e-05
16,12.0,0.001205000000027212,0.0,-0.00020888553116354876
17,20.0,0.0018610000000194304,0.0,-9.757065926290713e-05
18,38.0,0.0034570000000258005,0.0,-8.140509469383578e-05
19,37.0,0.00333299999999781,0.0,-0.00019918998544708543
20,55.0,0.004891999999983909,0.0,-0.0001748509689030569
21,36.0,0.003309999999999036,0.0,-6.317113207443244e-06
22,61.0,0.00547799999998233,0.0,-0.00036643663950824783
23,7.0,0.0007270000000403343,0.0,-0.00011686533734296504
24,21.0,0.0019409999999879801,0.0,-0.0001573658720127512
25,43.0,0.0038649999999620377,0.0,-0.00010517880360866858
26,12.0,0.001155999999980395,0.0,-9.692404862151228e-05
27,12.0,0.0011470000000031177,0.0,0.00011476312303725512
28,44.0,0.00391500000000633,0.0,0.0003402323389496633
29,57.0,0.00507900000002337,0.0,0.00011691018928148774
30,18.0,0.001748000000020511,0.0,0.000105219170353339
31,10.0,0.0009829999999624306,0.0,9.469725331800506e-05
32,16.0,0.001537000000041644,0.0,-2.6983626349064583e-07
33,12.0,0.0011610000000246146,0.0,-4.594373670538832e-05
34,28.0,0.0025570000000243454,0.0,-2.428526371415704e-07
35,41.0,0.003681000000028689,0.0,-0.00014428961037009472
36,9.0,0.0009249999999951797,0.0,-7.154103478686192e-05
37,9.0,0.0009000000000014552,0.0,0.00040899355133112785
38,48.0,0.004338000000018383,0.0,-0.00028885793475651894
39,19.0,0.0017599999999902138,0.0,-9.717643237224649e-05
40,31.0,0.0028259999999704633,0.0,-0.00020359275266695258
41,14.0,0.0013220000000160326,0.0,0.00014585354776065708
42,24.0,0.002192999999977019,0.0,-3.955346477841433e-05
43,8.0,0.0008170000000404798,0.0,0.00015266095278910195
44,19.0,0.003195000000005166,0.0,-3.559811830057286e-05
45,32.0,0.0034620000000131768,0.0,-1.8819653332420713e-05
46,23.0,0.0021299999999655483,0.0,-0.00020032046155242186
47,38.0,0.003444000000001779,0.0,-0.0002894531959210376
48,8.0,0.0008100000000013097,0.0,-3.3147768263737647e-06
49,8.0,0.0008050000000139335,0.0,0.0001593197536712425
50,13.0,0.0012370000000032633,0.0,8.215406988943525e-06
51,38.0,0.003471999999987929,0.0,-1.5036143159174033e-05
52,21.0,0.0019340000000056534,0.0,4.264173267536466e-05
53,46.0,0.004125999999985197,0.0,0.00017670789650087453
54,18.0,0.0016759999999749198,0.0,6.240597081792775e-05
55,28.0,0.002536000000020522,0.0,7.56832355660583e-05
56,61.0,0.005412999999975909,0.0,-6.796698520982012e-05
57,14.0,0.001324000000010983,0.0,0.00016185855821499237
58,8.0,0.0008019999999646643,0.0,0.00011375705866869775
59,16.0,0.0015000000000213731,0.0,3.837755940782814e-05
60,18.0,0.0016909999999938918,0.0,0.00010238135280182792
61,26.0,0.0023590000000126565,0.0,3.453980346704527e-05
62,16.0,0.0014909999999872525,0.0,0.00014673587429624364
63,22.0,0.0020020000000045,0.0,-0.00010321274087845379
64,17.0,0.001584999999977299,0.0,-0.0001722883621731844
65,16.0,0.0015230000000201471,0.0,-0.00015505952595586592
66,17.0,0.0015740000000050713,0.0,0.00014688315542358318
67,37.0,0.003313999999988937,0.0,8.879321846207839e-05
68,7.0,0.000711000000023887,0.0,0.00024012711097363027
69,6.0,0.0006219999999643733,0.0,6.382061193324585e-05
70,11.0,0.0010619999999903484,0.0,-7.946960655764296e-05
71,9.0,0.0008849999999824831,0.0,-0.00010280853044499801
72,15.0,0.001400999999987107,0.0,-5.022903627618176e-05
73,26.0,0.002379000000019005,0.0,-9.289146679060839e-05
74,38.0,0.003398000000004231,0.0,-0.0002267469971700926
75,38.0,0.0034530000000358996,0.0,0.00017966270089174257
76,13.0,0.0012279999999691427,0.0,-0.0001244176293545414
77,54.0,0.004787000000021635,0.0,0.0001260005545458691
78,34.0,0.003100999999958276,0.0,-0.00011197586641908724
79,19.0,0.0017680000000268592,0.0,0.00020607287471188665
80,54.0,0.004811999999958516,0.0,0.00011340049909128224
81,43.0,0.004602000000033968,0.0,0.0003400298936882466
82,12.0,0.0011909999999488718,0.0,0.0001476604914358288
83,7.0,0.0007270000000403343,0.0,0.00036809419619801505
84,20.0,0.001856999999972686,0.0,0.00014674421914080433
85,17.0,0.0016259999999874708,0.0,0.00018546558724069796
86,9.0,0.0009079999999812571,0.0,-6.450872401727106e-06
87,13.0,0.0012459999999805405,0.0,0.00023466381719140848
88,13.0,0.001412000000016178,0.0,0.00021105092024090698
89,38.0,0.003486000000009426,0.0,-0.00023730750549470845
90,10.0,0.0009869999999523316,0.0,0.00020896496435904364
91,29.0,0.0030090000000200234,0.0,0.00018806846792313926
92,14.0,0.0014000000000464752,0.0,0.00016926162113082535
93,7.0,0.0007269999999834909,0.0,0.00015233545901774284
94,14.0,0.0013349999999832107,0.0,0.00045244471459649947
95,27.0,0.0024559999999951287,0.0,-2.113884728206192e-05
96,15.0,0.0014559999999619322,0.0,0.00033128477657821357
97,8.0,0.0008070000000088839,0.0,0.0003146603533152636
