episode,length,time,reward,delta
0,45.0,0.004580000000032669,0.0,-0.0005807191238598448
1,29.0,0.0030390000001716544,0.0,-4.541425466914127e-05
2,25.0,0.0023599999999532884,0.0,-0.0004828346019655421
3,39.0,0.003477999999859094,0.0,-0.0004725165083595854
4,48.0,0.004277000000001863,0.0,-0.0003719275827763659
5,32.0,0.002885999999989508,0.0,-0.00030546983820780845
6,8.0,0.0008040000000164582,0.0,-0.00043455114176898786
7,34.0,0.0030440000000453438,0.0,-2.299430705219544e-05
8,17.0,0.0015739999998913845,0.0,-0.0003034211551423558
9,25.0,0.002265999999963242,0.0,0.00017425372644679072
10,96.0,0.00842899999997826,0.0,-4.855579916361358e-05
11,16.0,0.0014900000001034641,0.0,-0.0002730790396281202
12,50.0,0.004483000000163884,0.0,-0.00031464105088390673
13,5.0,0.0005459999999857246,0.0,-0.000271926624913374
14,46.0,0.00409799999988536,0.0,-4.087282920222713e-05
15,9.0,0.0009119999999711581,0.0,-0.00036002288993325273
16,16.0,0.001518000000032771,0.0,-0.00029346111284551
17,19.0,0.001770000000078653,0.0,-0.00024407284919316416
18,14.0,0.0018050000001039734,0.0,-0.00023782957767538426
19,11.0,0.0010660000000370928,0.0,-0.00022062567208596708
20,43.0,0.003856000000041604,0.0,-0.0003992388011246805
21,14.0,0.001322000000072876,0.0,-0.00019174872489421198
22,17.0,0.0015789999999924476,0.0,0.00014918527350586447
23,36.0,0.003206999999974869,0.0,-0.00019951329026862068
24,4.0,0.00045699999986936746,0.0,-0.00015289845435686393
25,48.0,0.004299000000173692,0.0,0.0003521778797493462
26,36.0,0.003214999999954671,0.0,-0.00013760860892117753
27,21.0,0.002067000000124608,0.0,-0.00013360582380410292
28,34.0,0.003092999999807944,0.0,-0.00012384774802905976
29,37.0,0.00332099999991442,0.0,-0.00012719139885470412
30,17.0,0.0015859999998610874,0.0,0.00013426674615527804
31,5.0,0.0005479999999806751,0.0,-0.00011447225896923371
32,35.0,0.003132000000050539,0.0,0.00012387907589475969
33,54.0,0.005283000000190441,0.0,-0.00031159426029220055
34,27.0,0.0024650000000292493,0.0,-2.069487634697592e-05
35,4.0,0.0004620000001978042,0.0,-0.0001998756017518315
36,46.0,0.0041300000000319415,0.0,-0.0007005046078900283
37,31.0,0.0027959999999893625,0.0,-1.0546740454087859e-05
38,72.0,0.00701100000014776,0.0,-0.00018342274660778865
39,91.0,0.008033999999952357,0.0,-0.00023553328339494793
40,4.0,0.00045799999998052954,0.0,-7.328187639499083e-05
41,20.0,0.00183999999990192,0.0,-7.285041895338778e-05
42,80.0,0.007162999999991371,0.0,-6.400007505443899e-05
43,40.0,0.0035820000000512664,0.0,-5.3764085788372536e-05
44,14.0,0.001318000000082975,0.0,-4.83876772095353e-05
45,10.0,0.0009740000000419968,0.0,0.00011149116830528368
46,77.0,0.0068229999999402935,0.0,0.00010034205147475535
47,33.0,0.0029630000001361623,0.0,-4.232035590993725e-05
48,9.0,0.0008850000001530134,0.0,-0.00018153311482338745
49,17.0,0.0015750000000025466,0.0,-0.0003947356142027802
50,89.0,0.00776199999995697,0.0,-1.3313346673875573e-05
51,37.0,0.003526000000192653,0.0,-0.0005564162553835634
52,18.0,0.0017069999998966523,0.0,-1.1982012006488043e-05
53,50.0,0.004505000000108339,0.0,-9.998125256482156e-06
54,64.0,0.005627000000004045,0.0,-0.00017537318547943318
55,43.0,0.0038779999999860593,0.0,-0.00021197995505545318
56,15.0,0.001760999999987689,0.0,-8.344196611443516e-06
57,36.0,0.0035229999998591666,0.0,-0.00013435947834809032
58,44.0,0.004124999999930878,0.0,-3.559000937913782e-05
59,5.0,0.0005530000000817381,0.0,-7.509776950299181e-06
60,69.0,0.006143999999949301,0.0,-0.00015783586693148986
61,9.0,0.0009130000000823202,0.0,9.030784632727982e-05
62,56.0,0.0049489999998968415,0.0,4.991625733619814e-05
63,4.0,0.0004610000000866421,0.0,5.07969385955088e-06
64,17.0,0.0015859999998610874,0.0,4.571724473595787e-06
65,33.0,0.0029999999999290594,0.0,-0.00019078195954990785
66,91.0,0.007974999999987631,0.0,1.0681382175504529e-05
67,32.0,0.002897999999959211,0.0,-1.0840268801081136e-05
68,20.0,0.001882000000023254,0.0,-3.1723761725312594e-05
69,20.0,0.00189900000009402,0.0,-2.8551385552781357e-05
70,59.0,0.005257000000028711,0.0,-0.00011441763708111921
71,53.0,0.004828999999972439,0.0,1.5100879850369524e-05
72,21.0,0.0019409999999879801,0.0,-0.0003530224147258041
73,11.0,0.0010700000000269938,0.0,-2.5696246997503253e-05
74,20.0,0.0018420000001242443,0.0,-0.00039800720902855187
75,98.0,0.008638999999902808,0.0,4.4759193749125694e-05
76,9.0,0.0008940000000166037,0.0,-0.00013210394449931004
77,16.0,0.001495999999860942,0.0,-0.00013190118984850727
78,25.0,0.0022819999999228457,0.0,1.8151712853181807e-05
79,19.0,0.0017530000000078871,0.0,-0.00011935885750439439
80,66.0,0.005826000000070053,0.0,9.810659408905772e-05
81,10.0,0.0009870000001228618,0.0,-0.00010742297175395495
82,37.0,0.0032859999998891,0.0,-2.0245337881705694e-05
83,9.0,0.0008949999999003921,0.0,3.375777285790076e-05
84,47.0,0.004164000000173473,0.0,9.40438306732352e-05
85,19.0,0.001755999999886626,0.0,-0.00010294946278131047
86,33.0,0.002964999999903739,0.0,3.486532486653577e-05
87,12.0,0.0011469999999462743,0.0,4.34428407685973e-05
88,7.0,0.0007169999998950516,0.0,-0.00030422053586796134
89,13.0,0.0012759999999616412,0.0,4.445207603529861e-05
90,84.0,0.0074180000001433655,0.0,-0.00014205228023834082
91,6.0,0.0006720000001223525,0.0,-9.844479401541331e-05
92,34.0,0.0030630000001110602,0.0,4.0283274374213135e-05
93,41.0,0.003685000000132277,0.0,4.642074967671478e-05
94,52.0,0.004621000000042841,0.0,5.4971314862571494e-05
95,41.0,0.003644000000122105,0.0,-8.8600314613872e-05
96,10.0,0.0009810000001380104,0.0,4.947418337631433e-05
97,168.0,0.01459900000008929,0.0,-0.0005007746298452071
98,6.0,0.0006319999999959691,0.0,-7.974028315248477e-05
99,7.0,0.0007659999998850253,0.0,4.4526765038682876e-05
100,30.0,0.002705999999989217,0.0,-0.0001816514798367818
101,13.0,0.0012359999998352578,0.0,-7.276203036542662e-05
102,128.0,0.011195999999927153,0.0,-7.030454251642521e-05
103,26.0,0.0023850000000038563,0.0,6.260059883454405e-05
104,19.0,0.0017540000001190492,0.0,-6.548582732888395e-05
105,17.0,0.0016029999999318534,0.0,-1.8220804093535136e-05
106,17.0,0.0015800000001036096,0.0,-6.66099115069292e-05
107,64.0,0.005662999999913154,0.0,-0.0001634863318531036
108,89.0,0.007832999999891399,0.0,-0.0001138388839286577
109,78.0,0.006883000000016182,0.0,-0.0002737984822811652
110,41.0,0.0036710000001676235,0.0,-2.9300329224305052e-05
111,12.0,0.001143000000183747,0.0,-5.893724459599554e-05
112,13.0,0.0012320000000727305,0.0,6.492968300944206e-05
113,18.0,0.0016490000000430882,0.0,5.843671470849785e-05
114,74.0,0.006485999999995329,0.0,-4.326744740165266e-05
115,8.0,0.0008020000000215077,0.0,-4.866826142935405e-05
116,32.0,0.0028600000000551518,0.0,0.00010128947717970402
117,75.0,0.006544999999960055,0.0,-5.177277842042735e-05
118,21.0,0.0019419999998717685,0.0,0.0001517693035055195
119,38.0,0.003443000000061147,0.0,-0.00032353659830344967
120,8.0,0.0008360000001630397,0.0,8.408461340891934e-05
121,6.0,0.0006330000001071312,0.0,8.409808019938094e-05
122,9.0,0.0008940000000166037,0.0,-4.4292408758507865e-05
123,33.0,0.0031020000001262815,0.0,8.799288579499246e-05
124,56.0,0.0049539999999979045,0.0,7.91935972154932e-05
125,107.0,0.0093179999998938,0.0,-0.0003268237253202194
126,31.0,0.002815000000055079,0.0,-0.00010899423542307964
127,20.0,0.0018789999999171414,0.0,9.47529016411924e-05
128,12.0,0.001150000000052387,0.0,9.219266333685913e-05
129,31.0,0.0027930000001106237,0.0,-4.6595500578384594e-05
130,35.0,0.0031589999998686835,0.0,3.0360278406274272e-05
131,32.0,0.0028839999999945576,0.0,-0.00010067607412237871
132,40.0,0.003701000000091881,0.0,0.00010700216877309826
133,81.0,0.00793599999997241,0.0,-0.0001519526788891618
134,44.0,0.00398999999993066,0.0,0.00018201272499972882
135,62.0,0.005675999999994019,0.0,-9.780243891343275e-05
136,55.0,0.005006999999977779,0.0,4.501657862816767e-05
137,8.0,0.0008599999998750718,0.0,0.00010715751015986035
138,29.0,0.0027489999999943393,0.0,2.474204848696034e-06
139,4.0,0.0004659999999603315,0.0,2.226784363826414e-06
140,17.0,0.0016049999999268039,0.0,9.644175914387432e-05
141,10.0,0.0009749999999257852,0.0,2.0041059274437945e-06
142,27.0,0.0024349999998776184,0.0,1.1767794805795056e-05
143,15.0,0.0014029999999820575,0.0,1.9398037449796254e-05
144,20.0,0.0019720000000233995,0.0,9.848272146959202e-05
145,18.0,0.0017239999999674183,0.0,1.7458233704816602e-05
146,49.0,0.004380000000082873,0.0,0.00016381145249975596
147,15.0,0.00141299999995681,0.0,0.00014057717473703302
148,18.0,0.0017080000000078144,0.0,-7.81005559557124e-05
149,8.0,0.0008299999999508145,0.0,0.00011214469011698374
150,8.0,0.0008419999999205174,0.0,-7.895904413400458e-05
151,36.0,0.0032889999999952124,0.0,6.772685953363751e-05
152,105.0,0.009246999999959371,0.0,-0.00029414135278819746
153,17.0,0.0016080000000329164,0.0,3.2578738699683845e-05
154,16.0,0.0014979999998558924,0.0,0.00011163752111273298
155,39.0,0.003484000000071319,0.0,0.00016735800287185796
156,17.0,0.0015919999998459389,0.0,0.00010871310829317995
157,15.0,0.00141299999995681,0.0,0.0005900758010975438
158,23.0,0.0020919999999478023,0.0,9.784179746386197e-05
159,20.0,0.0018440000001191947,0.0,2.5824071355727075e-05
160,36.0,0.003224000000045635,0.0,-0.00029118293847310475
161,18.0,0.0016630000000077416,0.0,-7.106313972060413e-05
162,15.0,0.0014300000000275759,0.0,0.00010598355628298753
163,42.0,0.0037290000000211876,0.0,0.0005310682209877894
164,56.0,0.004950999999891792,0.0,3.901851919542806e-05
165,21.0,0.0019339999998919666,0.0,0.00013199199265942106
166,65.0,0.00737699999990582,0.0,-7.946186059228186e-05
167,49.0,0.004456000000118365,0.0,0.00014175378982481774
168,22.0,0.00203300000021045,0.0,0.00012757841084233597
169,143.0,0.012613000000101238,0.0,-0.00045069716686068636
170,42.0,0.0037990000000718283,0.0,-0.0004056274501746177
171,66.0,0.005890000000135842,0.0,0.0001466450837784237
172,12.0,0.0011569999999210268,0.0,0.00014129653700779046
173,26.0,0.002420999999912965,0.0,0.00014916096250596175
174,89.0,0.00779699999998229,0.0,0.00012797312607024873
175,19.0,0.0017490000000179862,0.0,4.5716824518198516e-05
176,44.0,0.0039040000001477893,0.0,0.0001587763136716626
177,47.0,0.0041919999998754065,0.0,9.05828672041753e-05
178,23.0,0.002095000000053915,0.0,0.00010948593882103023
179,24.0,0.002179000000069209,0.0,4.807518820105133e-05
180,42.0,0.003773000000137472,0.0,0.0002106097283153155
181,15.0,0.0014189999999416614,0.0,-0.0001823031008107935
182,54.0,0.004742999999962194,0.0,3.850752241296219e-05
183,106.0,0.009281000000100903,0.0,0.00017000214132740598
184,58.0,0.005125000000134605,0.0,0.00012313029119797583
185,10.0,0.0009809999999106367,0.0,0.0001582558770236749
186,64.0,0.0063419999999041465,0.0,-0.0003177201732532237
187,12.0,0.0011719999999968422,0.0,-3.16046138737059e-05
188,35.0,0.0031869999997979903,0.0,-4.0347009203201825e-05
189,5.0,0.0005499999999756255,0.0,0.00016690734221717627
190,90.0,0.007949000000053275,0.0,-0.00017101057235464104
191,22.0,0.00201599999991231,0.0,2.1205229783937698e-05
192,4.0,0.00045999999997548,0.0,4.378641934308091e-05
193,13.0,0.0012360000000626314,0.0,0.00020671459233341754
194,29.0,0.0026559999998880812,0.0,7.631531603342196e-05
195,88.0,0.007807999999840831,0.0,0.0001856096304237435
196,26.0,0.0023629999998320272,0.0,1.908470680554394e-05
197,18.0,0.001868999999942389,0.0,6.868378443007975e-05
198,38.0,0.0034440000001723092,0.0,-4.193595052054617e-05
199,32.0,0.00290099999983795,0.0,-0.00033114688862684137
200,92.0,0.008125999999947453,0.0,-2.6654961301659022e-05
201,39.0,0.003495999999813648,0.0,0.000248758872461378
202,113.0,0.009855999999899723,0.0,-1.0366162672324872e-05
203,16.0,0.001502000000073167,0.0,0.00019122487798381332
204,6.0,0.0006319999999959691,0.0,0.000172102390185432
205,33.0,0.002979000000095766,0.0,6.181540598707176e-05
206,23.0,0.0021090000000185682,0.0,0.0002023343190880866
207,40.0,0.003733999999894877,0.0,8.622431581912962e-05
208,52.0,0.004893999999922016,0.0,-0.00026955366063877287
209,20.0,0.001970000000028449,0.0,-9.663551335434154e-06
210,25.0,0.0023269999999229185,0.0,0.00010708498386635343
211,42.0,0.0039380000000619475,0.0,0.000189340580402095
212,15.0,0.0014549999998507701,0.0,7.285949358266404e-05
213,15.0,0.001483999999891239,0.0,7.047784730613047e-05
214,15.0,0.0014179999998304993,0.0,0.0001846780576842336
215,21.0,0.0019320000001243898,0.0,6.415665940749427e-05
216,16.0,0.00151400000004287,0.0,0.00017853455316392699
217,47.0,0.004165000000057262,0.0,0.000182100887179278
218,12.0,0.0011509999999361753,0.0,0.00016389079846135018
219,20.0,0.0018440000001191947,0.0,0.00025693100767428255
