steps,time,reward,delta,converged
1,0.015804000000002816,0.0,0,False
2,0.04439899999999852,0.0,0,False
3,0.01281800000003841,0.0,0,False
4,0.005269999999995889,0.0,0,False
5,0.009397000000035405,0.0,0,False
6,0.02490900000009333,0.0,0,False
7,0.00294100000007802,0.0,0,False
8,0.015038000000004104,0.0,0,False
9,0.007979999999975007,0.0,0,False
10,0.006594999999947504,0.0,0,False
11,0.043795999999929336,0.0,0,False
12,0.005281999999965592,0.0,0,False
13,0.007838000000106149,0.0,0,False
14,0.010010000000079344,0.0,0,False
15,0.0030970000000252185,0.0,0,False
16,0.013253999999960797,0.0,0,False
17,0.017446999999947366,0.0,0,False
18,0.01089600000000246,0.0,0,False
19,0.01774399999999332,0.0,0,False
20,0.04380300000002535,0.0,0,False
21,0.005027999999924759,0.0,0,False
22,0.01121899999998277,0.0,0,False
23,0.015544999999974607,0.0,0,False
24,0.020926999999915097,0.0,0,False
25,0.019424999999955617,0.0,0,False
26,0.004672000000027765,0.0,0,False
27,0.030055000000061227,0.0,0,False
28,0.02631300000007286,0.0,0,False
29,0.008895000000052278,0.0,0,False
30,0.014339999999947395,0.0,0,False
31,0.011181000000078711,0.0,0,False
32,0.011838000000011561,0.0,0,False
33,0.026099999999928514,0.0,0,False
34,0.029390000000034888,0.0,0,False
35,0.017991999999935615,0.0,0,False
36,0.007155000000011569,0.0,0,False
37,0.03261799999995674,0.0,0,False
38,0.003390999999965061,0.0,0,False
39,0.0018190000000686268,0.0,0,False
40,0.01547199999993154,0.0,0,False
41,0.012954999999919892,0.0,0,False
42,0.02114100000005692,0.0,0,False
43,0.018419999999991887,0.0,0,False
44,0.03943099999992228,0.0,0,False
45,0.024319999999988795,0.0,0,False
46,0.03792799999996532,0.0,0,False
47,0.04379200000005312,0.0,0,False
48,0.019607000000064545,0.0,0,False
49,0.04360800000006293,0.0,0,False
50,0.013528000000064822,0.0,0,False
51,0.027535000000057153,0.0,0,False
52,0.014641999999980726,0.0,0,False
53,0.03395399999999427,0.0,0,False
54,0.006563000000028296,0.0,0,False
55,0.02929099999994378,0.0,0,False
56,0.011902999999961139,0.0,0,False
57,0.01229000000000724,0.0,0,False
58,0.03426999999999225,0.0,0,False
59,0.0024290000000064538,0.0,0,False
60,0.014308000000028187,0.0,0,False
61,0.01243699999997716,0.0,0,False
62,0.036015000000020336,0.0,0,False
63,0.004383999999959087,0.0,0,False
64,0.006435000000010405,0.0,0,False
65,0.004426000000080421,0.0,0,False
66,0.042236000000002605,0.0,0,False
67,0.024804000000017368,0.0,0,False
68,0.003954000000021551,0.0,0,False
69,0.013239999999996144,0.0,0,False
70,0.01533900000003996,0.0,0,False
71,0.02735100000006696,0.0,0,False
72,0.011241000000040913,0.0,0,False
73,0.012054000000034648,0.0,0,False
74,0.04452800000001389,0.0,0,False
75,0.03251000000000204,0.0,0,False
76,0.04461700000001656,0.0,0,False
77,0.007655999999997221,0.0,0,False
78,0.045991999999955624,0.0,0,False
79,0.008824000000004162,0.0,0,False
80,0.04388899999992191,0.0,0,False
81,0.006348000000002685,0.0,0,False
82,0.015893000000005486,0.0,0,False
83,0.03396099999997659,0.0,0,False
84,0.03863300000000436,0.0,0,False
85,0.04376400000001013,0.0,0,False
86,0.03441299999997227,0.0,0,False
87,0.044267999999988206,0.0,0,False
88,0.035095999999953165,0.0,0,False
89,0.04444999999998345,0.0,0,False
90,0.04416800000001331,0.0,0,False
91,0.026545000000055552,0.0,0,False
92,0.04456700000002911,0.0,0,False
