steps,time,reward,delta,converged
1,0.0017899999999997362,0.6666666666666666,0.3333333333333333,False
2,0.0016119999999943957,1.1266666666666665,0.13,False
3,0.00160900000000197,1.4974666666666665,0.078,False
4,0.0017500000000154614,1.7913436666666664,0.05265,False
5,0.0016119999999943957,2.0311800766666663,0.03538349999999996,False
6,0.001619000000005144,2.2323071509666663,0.024794099999999986,False
7,0.0015970000000038453,2.4033800294116663,0.01942245540000001,False
8,0.0016070000000070195,2.5508819161939966,0.015089390207999986,False
9,0.0016070000000070195,2.6795569235916474,0.01171215738279005,False
10,0.002188999999987118,2.792733407575706,0.00944136580859102,False
11,0.0016069999999785978,2.8928022884792632,0.007658333310526913,False
12,0.0015989999999987958,2.9814983770185632,0.006165888977370401,False
13,0.0019289999999898555,3.06014724923699,0.0051228527770079135,False
14,0.0015930000000139444,3.129894801183921,0.004244414964388328,False
15,0.0016349999999931697,3.191860422897377,0.003495332361264175,False
16,0.0015640000000018972,3.246839758144043,0.003019570238314756,False
17,0.0015700000000151704,3.2955252994958,0.0027077320083783753,False
18,0.0015659999999968477,3.338523607047404,0.0023850191840653727,False
19,0.001582000000013295,3.376381450350258,0.0020875995280356073,False
20,0.0015740000000050713,3.4096144015081262,0.0018020005800950915,False
21,0.0016099999999994452,3.438717793004764,0.0015381761904199008,False
22,0.0015810000000158198,3.46415294486198,0.0013127806480078413,False
23,0.0015699999999867487,3.4863015882721076,0.0011158089967912184,False
24,0.0015839999999798238,3.5055163754607306,0.0009408474573520918,False
25,0.0015779999999949723,3.5221216788088534,0.0007880965366398734,False
26,0.001570999999984224,3.536415164820256,0.0006635709501503773,False
27,0.0015700000000151704,3.548669871782142,0.0005558610633529977,False
28,0.0015819999999848733,3.5591425614422008,0.00046665324912531503,False
29,0.0015740000000050713,3.568064613737427,0.0003936660004391721,False
30,0.0015740000000050713,3.575652670806036,0.000330248160638192,False
31,0.0015750000000025466,3.5820974265679872,0.0002781214747130927,False
32,0.0015649999999993724,3.587555463501677,0.0002412264517709763,False
33,0.0015760000000000218,3.5921707161027467,0.00021318481006693448,False
34,0.0015710000000126456,3.596070706996952,0.0001867985806430295,False
35,0.0015829999999823485,3.5993610547559634,0.0001627328406883198,False
36,0.0015690000000176951,3.602131201990458,0.00014124779893645925,False
37,0.0015740000000050713,3.6044581849962176,0.00012200242930261469,False
38,0.0015680000000202199,3.6064086412741374,0.00010482426605419592,False
39,0.0016019999999912216,3.6080400751363637,8.959726987954435e-05,False
40,0.0015710000000126456,3.6094019655457465,7.620756741163071e-05,False
41,0.0015819999999848733,3.6105367376394994,6.452682722781541e-05,False
42,0.0016179999999792471,3.6114806336624925,5.441233528221453e-05,False
43,0.0015750000000025466,3.612264500765062,4.571286010253764e-05,False
44,0.001576999999997497,3.6129145026462886,3.827540007466778e-05,False
45,0.001580999999987398,3.613452758396439,3.19509006423014e-05,False
46,0.0015810000000158198,3.6138979114485794,2.6598411419012646e-05,False
47,0.0020080000000177733,3.6142656321912163,2.2087737671662097e-05,False
48,0.001589999999993097,3.614569058589581,1.8300849475842706e-05,False
49,0.001593999999982998,3.6148191797696283,1.5132352666044971e-05,False
50,0.0015980000000013206,3.615025167852318,1.2489297843807853e-05,False
51,0.0015910000000189939,3.6151946634061494,1.0290553408742048e-05,False
52,0.001593999999982998,3.6153340197663066,8.465916292519325e-06,True
